"","V1","V2","V3","V4","V5","V6"
"1","p38 mapk signaling pathway","0.878192592000003","-1.28708399677224","1.52894075169452","-0.358549793535644","0.116693038613363"
"2",NA,NA,NA,NA,NA,NA
"3","regulation of eif-4e and p70s6 kinase","0.0138317808583164","-0.147442448824153","-0.482112689706801","-1.37959731929441","2.00915245782537"
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6","melanocyte development and pigmentation pathway","0.108200743904716","-0.716405333838663","-0.450165773567082","1.92229942337485","-0.755728315969104"
"7","stat3 signaling pathway","0.840645101069918","-0.706644066888478","0.789141144408199","-0.10849339320225","0.0259963156825308"
"8","il-7 signal transduction","0.493833425371722","1.61482181919818","-1.14701315101521","-1.14139130341699","0.673582635234022"
"9","ifn gamma signaling pathway","0.904578811833745","-0.480731639427029","0.734163765617554","-0.154211007108917","-0.0992211190816048"
"10","hemoglobins chaperone","0.699364602838098","-0.452500000000001","0.243499999999999","0.0284999999999993","0.1805"
"11","hiv-1 defeats host-mediated resistance by cem15","0.0181568088473291","-0.643643772441012","-0.150402174095872","1.02740410637912","-0.233358159842236"
"12",NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17","role of mitochondria in apoptotic signaling","0.910954330055234","1.22153168530259","-0.998411261168896","0.551995833637195","-0.775116257770895"
"18","tsp-1 induced apoptosis in microvascular endothelial cell","0.651833476111823","-0.527250301991357","-0.0437224843105846","-0.106183924212332","0.677156710514273"
"19","angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling","0.454616852501385","-2.1656046615416","1.32973504465567","1.58977467698331","-0.753905060097389"
"20","stathmin and breast cancer resistance to antimicrotubule agents","0.690715663582808","-0.47775","0.318249999999999","0.0762499999999999","0.0832499999999996"
"21","integrin signaling pathway","0.828528913113709","0.700226955865823","-1.28122801326816","-0.0940823679166687","0.675083425319003"
"22",NA,NA,NA,NA,NA,NA
"23","tpo signaling pathway","0.228145065002427","-0.927007185263061","0.475682682213067","1.4111679198798","-0.959843416829804"
"24","endocytotic role of ndk phosphins and dynamin","0.205154234693131","0.0747499999999999","0.050749999999999","0.33675","-0.462249999999999"
"25","il-2 receptor beta chain in t cell activation","0.27540791689889","-1.14193375206546","0.66809902216786","1.57077770763769","-1.09694297774009"
"26","pelp1 modulation of estrogen receptor activity","0.538204086331538","-0.435499999999999","0.1645","0.141500000000001","0.1295"
"27",NA,NA,NA,NA,NA,NA
"28","akt signaling pathway","0.883577847196565","1.42670516053226","-0.810892305898216","0.59932908222801","-1.21514193686206"
"29",NA,NA,NA,NA,NA,NA
"30","downregulated of mta-3 in er-negative breast tumors","0.30923535662352","-0.591515235123847","-0.237049359053001","-1.54402741393013","2.37259200810698"
"31","mtor signaling pathway","0.0185445006293904","0.0440326395897348","-0.41647579302068","-1.4078227233884","1.78026587681934"
"32","ras signaling pathway","0.820095714350026","1.49060111191016","-1.08954428250524","0.304509936388254","-0.70556676579317"
"33",NA,NA,NA,NA,NA,NA
"34","p53 signaling pathway","0.480782308620035","-0.288295594881724","-0.10383032885366","-0.428049365907668","0.820175289643056"
"35","cxcr4 signaling pathway","0.0272396548554231","-0.827013211203687","-0.177106212433873","1.28204812319071","-0.277928699553149"
"36","corticosteroids and cardioprotection","0.653487113816542","-0.459212029672644","0.853091975988706","0.460626073079762","-0.854506019395821"
"37","reversal of insulin resistance by leptin","0.19164933079978","0.0525740693261862","0.0915894466138703","-0.693614066234551","0.549450550294493"
"38","overview of telomerase rna component gene hterc transcriptional regulation","0.480712288220495","-0.176130836403735","-0.0430536546178147","-0.285909456468502","0.505093947490054"
"39","cell cycle: g1/s check point","0.548935842818689","-0.452364815861112","1.68790018251712","1.30920644414878","-2.54474181080479"
"40","cdc25 and chk1 regulatory pathway in response to dna damage","0.0163466805395681","-0.0187500000000007","-0.111749999999999","-0.370749999999999","0.501250000000001"
"41","lck and fyn tyrosine kinases in initiation of tcr activation","0.645979889278121","-0.484503315999141","0.0205869304768111","-0.642459477046828","1.10637586256916"
"42","ca-calmodulin-dependent protein kinase activation","0.690715663582808","-0.47775","0.318249999999999","0.0762499999999999","0.0832499999999996"
"43","atm signaling pathway","0.851301505112392","-1.92081194500012","2.53356325845971","-0.264997311272735","-0.347754002186857"
"44","role of mef2d in t-cell apoptosis","0.42301077749632","0.832826123368763","0.0743666643440232","1.79657641030041","-2.7037691980132"
"45","role of nicotinic acetylcholine receptors in the regulation of apoptosis","0.501370474259863","1.88232903051283","-1.29713519313563","-1.25637439986459","0.67118056248739"
"46","fc epsilon receptor i signaling in mast cells","0.608023735846338","-1.51703883135846","-0.767987843393859","-0.656911721286552","2.94193839603887"
"47","pdgf signaling pathway","0.188339655841114","-0.861582418830234","0.40009869953082","1.45584410276728","-0.994360383467869"
"48",NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA
"50","phospholipids as signalling intermediaries","0.282592178148661","-1.14167945085226","0.623617457821527","1.47112195345264","-0.953059960421912"
"51","il22 soluble receptor signaling pathway","0.434455584871533","-0.709207406331509","0.207434339473717","0.342497675668899","0.159275391188894"
"52","control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk)","0.507560932968596","0.487013912365109","-0.656497456867375","-0.585975257748455","0.75545880225072"
"53","segmentation clock","0.623253772752625","-0.4655","0.1395","0.0444999999999993","0.281499999999999"
"54",NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA
"56","cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway","0.806355196986088","-0.492750000000001","0.12425","-0.161750000000001","0.530250000000001"
"57","ion channels and their functional role in vascular endothelium","0.854965851767806","-0.380000000000001","0.473000000000001","-0.0659999999999989","-0.0269999999999992"
"58",NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA
"60","acetylation and deacetylation of rela in nucleus","0.465267684945927","0.255500000000001","0.527500000000002","-0.202499999999999","-0.580500000000001"
"61","il-10 anti-inflammatory signaling pathway","0.00184765393641012","-0.549160034790254","-0.226648143435747","0.681018302288653","0.0947898759373478"
"62","il 4 signaling pathway","0.806576994134375","0.61021718392489","-1.01625835958465","-0.117034945792618","0.523076121452382"
"63","induction of apoptosis through dr3 and dr4/5 death receptors","0.696445433288588","-0.24604329504787","-0.382947791635926","-0.0761912926925513","0.705182379376349"
"64","platelet amyloid precursor protein pathway","0.998064901737782","-0.795","0.766999999999999","-0.557","0.584999999999999"
"65","cadmium induces dna synthesis and proliferation in macrophages","0.191210338819772","-0.472838703782488","-0.56671617876444","1.53937501079585","-0.49982012824892"
"66","regulation of bad phosphorylation","0.36145239575154","0.297351050135263","-0.52469586649743","-0.696519375491713","0.923864191853877"
"67","ionomycin and phorbal ester signaling pathway","0.0342901911527463","-0.507249999999999","-0.100249999999999","0.771749999999999","-0.164249999999999"
"68","multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation","0.753760864346028","0.85750458068762","-1.18607921272562","-0.274196992767188","0.602771624805189"
"69","the information processing pathway at the ifn beta enhancer","0.226084746560959","-0.659477814860107","-0.255530372236451","0.100615100457419","0.814393086639137"
"70","pten dependent cell cycle arrest and apoptosis","0.770259575000647","0.907336681824837","-1.10049532608794","-0.153240708244745","0.346399352507851"
