"","V1","V2","V3","V4","V5","V6","V7"
"1","p38 mapk signaling pathway","0.817996496399916",NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA
"3","regulation of eif-4e and p70s6 kinase","0.803651362696615",NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA
"6","melanocyte development and pigmentation pathway","0.543670188325057",NA,NA,NA,NA,NA
"7","stat3 signaling pathway","0.0535284520213926",NA,NA,NA,NA,NA
"8","il-7 signal transduction","0.931051480599915",NA,NA,NA,NA,NA
"9","ifn gamma signaling pathway","0.203341275528662",NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA
"11","hiv-1 defeats host-mediated resistance by cem15","0.553644795991082",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA
"15","granzyme a mediated apoptosis pathway","0.108353805227486",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA
"17","role of mitochondria in apoptotic signaling","0.423182875033411",NA,NA,NA,NA,NA
"18","tsp-1 induced apoptosis in microvascular endothelial cell","0.155270564285629",NA,NA,NA,NA,NA
"19","angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling","0.291191669888509",NA,NA,NA,NA,NA
"20","stathmin and breast cancer resistance to antimicrotubule agents","0.400706938474221",NA,NA,NA,NA,NA
"21","integrin signaling pathway","0.207930660869612",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA
"23","tpo signaling pathway","0.13339386823937",NA,NA,NA,NA,NA
"24","endocytotic role of ndk phosphins and dynamin","0.152442667942628",NA,NA,NA,NA,NA
"25","il-2 receptor beta chain in t cell activation","0.0648381547458828",NA,NA,NA,NA,NA
"26","pelp1 modulation of estrogen receptor activity","0.44739812340699",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA
"28","akt signaling pathway","0.633959853884819",NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA
"30","downregulated of mta-3 in er-negative breast tumors","0.369906750558406",NA,NA,NA,NA,NA
"31","mtor signaling pathway","0.792081981419201",NA,NA,NA,NA,NA
"32","ras signaling pathway","0.139993393756403",NA,NA,NA,NA,NA
"33","phospholipase c signaling pathway","0.929290921722221",NA,NA,NA,NA,NA
"34","p53 signaling pathway","0.995517321815165",NA,NA,NA,NA,NA
"35","cxcr4 signaling pathway","0.809451573023124",NA,NA,NA,NA,NA
"36","corticosteroids and cardioprotection","0.854224559254395",NA,NA,NA,NA,NA
"37","reversal of insulin resistance by leptin","0.538984913988274",NA,NA,NA,NA,NA
"38","overview of telomerase rna component gene hterc transcriptional regulation","0.634970652532899",NA,NA,NA,NA,NA
"39","cell cycle: g1/s check point","0.959104864707492",NA,NA,NA,NA,NA
"40","cdc25 and chk1 regulatory pathway in response to dna damage","0.541218219453906",NA,NA,NA,NA,NA
