TR:mock:CellLine,TR:CASP9,DA:CASP9,DA:EIF4EBP1,DA:MYC,DA:PPP2R4,DA:CXCR4,DA:GSK3A,DA:HDAC1,DA:MET,DA:MAP2K1,DV:CASP9,DV:EIF4EBP1,DV:MYC,DV:PPP2R4,DV:CXCR4,DV:GSK3A,DV:HDAC1,DV:MET,DV:MAP2K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,1,1,1,1,1,1,1,1,4.218467396,0.468270987,1.410299003,1.688410826,1.386645963,1.640972222,6.824598092,1.744155844,0.974988312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,6,6,6,6,6,6,6,6,1.634935745,2.657056628,1.401439646,1.566273421,1.227743271,1.55625,16.44869952,1.492207792,1.036465638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,24,24,24,24,24,24,24,24,24,2.618752975,0.940036534,1.351052049,1.712005552,1.631987578,1.252083333,15.99045876,1.437662338,0.754558205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,96,96,96,96,96,96,96,96,96,0.783912423,0.714160909,0.755813953,0.914642609,0.66563147,0.988194444,0.459286368,0.85,1.31884058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APAF1,,Elk1 (Phospho-Ser383),,,"4e-bp1, eif4ebp1",4e-bp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BRAF,,GSK3 alpha (Phospho-Ser21),,,"darpp, ankrd23",ankrd23,,DA:CASP9,DA:EIF4EBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASP9,0,JunD (Ab-255),,,"caspase9, casp9",casp9,,Caspase 9 (Ab-153),4E-BP1 (Ab-65),DA:MYC,DA:PPP2R4,DA:CXCR4,DA:GSK3A,DA:HDAC1,DA:MET,DA:MAP2K1,,,4.218467396,1.634935745,2.618752975,0.783912423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CXCL12,,Met (Ab-1234),,,"cd32, fcgr2a",cd32,,,,Myc (Phospho-Ser373),PP2A-alpha (Phospho-Tyr307),CXCR4 (Phospho-Ser339),GSK3 alpha (Phospho-Ser21),HDAC1 (Ab-421),Met (Ab-1234),MEK1 (Ab-298),,,0.468270987,2.657056628,0.940036534,0.714160909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CXCR4,0,MEK1 (Ab-298),,,"Cxcr4, cxcr4",Cxcr4,,,,,,,,,,,,,1.410299003,1.401439646,1.351052049,0.755813953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EIF4E,,HNF4 alpha (Ab-313),,,"elk1, elk1",elk1,,,,,,,,,,,,,1.688410826,1.566273421,1.712005552,0.914642609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EIF4EBP1,0,NFkB-p100/p52 (Phospho-Ser872),,,"gaba, slc6a13",gaba,,,,,,,,,,,,,1.386645963,1.227743271,1.631987578,0.66563147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOS,,HDAC1 (Ab-421),,,"gsk3a, gsk3a",gsk3a,,,,,,,,,,,,,1.640972222,1.55625,1.252083333,0.988194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOSL2,,Myc (Phospho-Ser373),,,"Hdac1, hdac1",Hdac1,,,,,,,,,,,,,6.824598092,16.44869952,15.99045876,0.459286368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSK3A,0,PP2A-alpha (Phospho-Tyr307),,,"hnf4alpha, hnf4a",hnf4alpha,,,,,,,,,,,,,1.744155844,1.492207792,1.437662338,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HDAC1,0,Caspase 9 (Ab-153),,,"Jund, jund",Jund,,,,,,,,,,,,,0.974988312,1.036465638,0.754558205,1.31884058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HGF,,Pyk2 (Ab-881),,,"mek1, map2k1",mek1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNF4A,,4E-BP1 (Ab-65),,,"Met, met",Met,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KSR2,,DARPP-32 (Phospho-Thr75),,,"Nfkb, tank",Nfkb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAP2K1,0,GABA-RB (Phospho-Ser434),,,"pp2a, ppp2r4",pp2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MET,0,CXCR4 (Phospho-Ser339),,,"Pyk2, ptk2b",Pyk2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTOR,,CD32 (FcgammaRIIb)(Ab-292),,,"myc, myc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MYC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPP2R4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter: 1318,,Fold change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Antibody Name,Quiescent 1h/control,Quiescent 6h/control,Quiescent 24h/control,Quiescent 96h/control,Rapamycin 1h/control,Rapamycin 6h/control,Rapamycin 24h/control,Rapamycin 96h/control,IGF 0.5h/control,,,,,,,,,,,,,Normalized data (log2),,,,,,,,,,,,,,,,,,,,,,Raw data,,,,,,,,,,,,,,,,,,,,,,Flags,,,,,,,,,,,,,,,,,,,,,,Antibody Information,,,Protein Information,,,,,,,,,,DataBase Link,,,
448,Caspase 9 (Ab-153),0.919,4.247,1.512,3.508,1.767,1.064,1.062,2.447,1.416,IGF 1h/control,IGF 3h/control,IGF 6h/control,IGF 24h/control,Apoptosis 0.5h/control,Apoptosis 1h/control,Apoptosis 3h/control,Apoptosis 6h/control,Senescent 1h/control,Senescent 6h/control,Senescent 24h/control,Senescent 96h/control,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h,Reactivity,Swiss Prot,Gene ID,Entry,Entry name,Protein names,Gene names,Organism,Length,KEGG,PDB,DrugBank,GC ID,SwissProt,drugbank,KEGG,PDB (3D Structure)
