,Quiescent,Senescent,IGF
4E-BP1 (Ab-65),0.4114010416666667,0.60228125,1.373875
AKT1 (Phospho-Ser473),0.9001718750000001,1.2649114583333334,1.0551875000000002
E2F1 (Phospho-Thr433),1.391171875,0.8596875,1.0821458333333331
IGF1R (Phospho-Tyr1165/1166),2.4130625,1.0760520833333334,1.064
IkB-alpha (Ab-32/36),0.9114427083333333,1.1387552083333334,0.9651458333333333
IKK-beta (Ab-188),0.6824218750000001,1.0570364583333334,1.0049375
IRS-1 (Phospho-Ser636),1.3886822916666668,0.9211093750000001,1.0563333333333333
MKK6/MAP2K6 (Phospho-Ser207),0.6777760416666666,0.7049947916666668,0.5427291666666667
mTOR (Phospho-Ser2481),0.6860885416666667,1.1339010416666666,0.9859374999999999
p38 MAPK (Phospho-Tyr322),0.7630937499999999,1.0756145833333333,0.860375
p53 (Phospho-Ser15),1.0160624999999999,0.75571875,0.8326458333333333
P70S6K (Phospho-Ser411),1.1547395833333334,0.9840052083333333,1.0598541666666668
Rb (Phospho-Thr821),1.0287604166666666,1.1921666666666666,1.0558541666666668
Tuberin/TSC2 (Phospho-Ser939),0.8659375,0.9990416666666667,0.9040416666666666
