,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),-0.8463168458087185,-0.2571436036803676,1.1034604494890858
AKT1 (Phospho-Ser473),-0.7232109923141369,1.1411722960190185,-0.41796130370487994
E2F1 (Phospho-Thr433),1.125426827089927,-0.7864562182331248,-0.3389706088568017
IGF1R (Phospho-Tyr1165/1166),1.154003536950038,-0.542261625555023,-0.6117419113950148
IkB-alpha (Ab-32/36),-0.773024360655489,1.129361427062827,-0.35633706640733714
IKK-beta (Ab-188),-1.1518339855065054,0.6463361121325115,0.5054978733739927
IRS-1 (Phospho-Ser636),1.0879596163936858,-0.8790289162726267,-0.20893070012105833
MKK6/MAP2K6 (Phospho-Ser207),0.2550280709191814,0.8477913076419586,-1.10281937856114
mTOR (Phospho-Ser2481),-1.0726953518839122,0.9064740213093019,0.16622133057460936
p38 MAPK (Phospho-Tyr322),-0.8034247863771941,1.119961277264354,-0.3165364908871604
p53 (Phospho-Ser15),1.1471410804035933,-0.45933172789241755,-0.6878093525111757
P70S6K (Phospho-Ser411),1.0270685113409732,-0.9705328385554642,-0.05653567278550899
Rb (Phospho-Thr821),-0.04594715852244625,1.0221815876197355,-0.9762344290972892
Tuberin/TSC2 (Phospho-Ser939),-0.47726596777212565,1.1492168059501828,-0.6719508381780592
