,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),1.115962925256816,-0.8148278410128178,-0.30113508424399765
AKT1 (Phospho-Ser473),-0.016302703896341256,1.0080516801730661,-0.9917489762767226
E2F1 (Phospho-Thr433),1.0222586705412608,-0.9761459025856141,-0.046112767955646755
IGF1R (Phospho-Tyr1165/1166),-0.4932445732630317,1.1507972382918286,-0.6575526650287947
IkB-alpha (Ab-32/36),0.39306774190764254,0.7437444456651028,-1.1368121875727475
IKK-beta (Ab-188),0.17649609562611887,0.9000013367916317,-1.0764974324177516
IRS-1 (Phospho-Ser636),-0.6555618102308169,-0.49543172520872036,1.1509935354395373
MKK6/MAP2K6 (Phospho-Ser207),-0.8806135537524695,1.0871373781240303,-0.2065238243715609
mTOR (Phospho-Ser2481),-0.5746467900149128,1.1546963252077065,-0.5800495351927933
p38 MAPK (Phospho-Tyr322),-1.1545829215965395,0.5915640873329739,0.5630188342635661
p53 (Phospho-Ser15),-0.710472431777881,1.1435392621615763,-0.4330668303836964
P70S6K (Phospho-Ser411),-0.9990549620979867,-0.0018874040816180286,1.0009423661796033
Rb (Phospho-Thr821),-0.10635092626702186,-0.9425740587652507,1.0489249850322702
Tuberin/TSC2 (Phospho-Ser939),1.0986328166030936,-0.857138517176242,-0.24149429942685335
