,Proliferation_1,Proliferation_6,Proliferation_24,Quiescence_1,Quiescence_6,Quiescence_24,Quiescence_96,Senescence_1,Senescence_6,Senescence_24,Senescence_96
c-Jun (Phospho-Ser63),1.4020640931100004,1.09094216521456,1.2550319465772208,1.749449501085766,1.5551021007385564,1.601777091608773,1.7740719507546843,0.9878066557009698,0.9107435282374818,1.066949680698369,1.104260914709065
GSK3 beta (Phospho-Ser9),1.4515882639396154,1.0111602024669106,1.403893810114098,1.4528082126675328,1.0419386165826845,1.0913697632558843,1.2548298658370602,0.8953801908530067,1.093573158375073,1.2641018736802119,1.2770728026322362
c-Jun (Phospho-Ser73),1.266334202459721,0.5094051318581778,1.0538156267060441,0.9268397053601397,1.2797707795404538,1.1352782530002299,1.0882885496581987,0.7779449871709004,0.8366330479004326,0.7213899428624357,0.9526938690411795
Elk1 (Phospho-Ser383),0.8572965219439896,1.1280821633854476,0.9677437050123524,0.8511416567031947,1.0113505702215244,1.0617381431151234,0.9403896942029295,0.9381365558501111,0.8434581522359526,0.7092669762810936,0.8961417072893767
PDK1 (Phospho-Ser241),1.035354025596345,3.2465207198104586,0.82768268728894,1.1378178577099278,2.0379456918852146,0.9838631227455524,1.0724197794512118,1.8522387250863845,1.994372888711503,1.0880249642729944,1.1000979756293061
Raf1 (Phospho-Ser259),1.1171584831099757,0.7294890257257078,1.0382605302912955,1.0671410921165956,1.3872130469524855,1.053007079498289,1.1800698744486997,0.8013462498522128,0.7842936011249259,0.8918287506932747,0.9349544959796924
GSK3 alpha (Phospho-Ser21),1.115150977749403,1.0045375289701817,0.542432719010224,1.2626753279521183,1.637260354562217,1.141586648389846,1.3340497455803635,1.0123626655828166,0.4616218372862924,0.9284514172189824,0.608984311163527
MEK2 (Phospho-Thr394),1.106432116830206,1.948299716228331,1.0763820504564363,1.8416488078792719,2.078286577936799,1.971393275672805,2.279971818723365,2.236617938149053,0.7792011373855374,1.2361396508005886,1.3673307642919814
PTEN (Phospho-Ser380),1.141515567400523,0.9247275352955334,1.101484717241492,1.0991715612678585,1.1318774877582651,1.2385466390127366,1.014755831238928,1.0508849334649528,0.8303045439515921,1.013605286634623,0.9487586300510179
NFkB-p65 (Phospho-Thr254),1.026672752892265,0.9528604949263362,0.9440809516421722,0.9760111995693729,1.0973896186557852,1.0277084476124738,1.0579527086809066,1.066538171954901,0.8359675986701751,0.9543112845349206,0.787330947186939
