,,count
AKT1,,33
AKT1,CDK2/4/6,0
AKT1,IKBKB,6
AKT1,MDM2,2
AKT1,MTOR,6
AKT1,NFKB1,11
AKT1,SIRT1,0
AKT1,SOD2,0
AKT1,TP53,0
AMPK,,3
ATM/ATR,,7
CDK2/4/6,,8
CDK2/4/6,IGF1R,0
CDK2/4/6,IRS1,0
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,1
CDK2/4/6,PDK1,0
CDK2/4/6,PIK3CA,0
CDKN1A,,8
CDKN2A,,3
CDKN2A,IGF1R,0
CDKN2A,INSR,0
CDKN2A,IRS1,0
CDKN2A,PIK3CA,1
FOXO3,,8
IGF1R,,25
IGF1R,IKBKB,1
IGF1R,INSR,9
IGF1R,IRS1,1
IGF1R,KRAS,1
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MTOR,4
IGF1R,NFKB1,3
IGF1R,ROS,0
IGF1R,SIRT1,0
IKBKB,,12
IKBKB,INSR,0
IKBKB,IRS1,2
IKBKB,MTOR,29
IKBKB,PIK3CA,3
IKBKB,RHEB,0
INSR,,12
INSR,IRS1,0
INSR,KRAS,0
INSR,MDM2,0
INSR,MTOR,1
INSR,SIRT1,0
INSR,TP53,0
IRS1,,25
IRS1,KRAS,8
IRS1,MAP2K3/MAP2K6,0
IRS1,MAPK14,0
IRS1,MDM2,0
IRS1,MTOR,5
IRS1,NFKB1,2
IRS1,ROS,0
IRS1,SIRT1,0
KRAS,,20
KRAS,MTOR,2
KRAS,NFKB1,0
KRAS,SIRT1,0
MAP2K3/MAP2K6,,4
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,8
MAPK14,,4
MAPK14,PIK3CA,0
MDM2,,8
MDM2,PDK1,2
MDM2,PIK3CA,2
MTOR,,20
MTOR,NFKB1,37
MTOR,PDK1,9
MTOR,PIK3CA,8
MTOR,SGK1,0
NAD+,,8
NFKB1,,16
NFKB1,PDK1,4
NFKB1,PIK3CA,3
NFKB1,RHEB,3
PDK1,,42
PDK1,SIRT1,1
PDK1,SOD2,0
PDK1,TP53,0
PIK3CA,,38
PIK3CA,ROS,0
PIK3CA,SIRT1,1
PIK3CA,SOD2,0
PIK3CA,TP53,0
PPARGC1A,,8
PTEN,,3
RB1,,1
RHEB,,9
ROS,,8
SGK1,,8
SIRT1,,4
SOD2,,8
TP53,,4
TSC2,,6
