,,count
AKT1,,16
AKT1,CDK2/4/6,0
AKT1,IGF1R,0
AKT1,IKBKB,7
AKT1,INSR,0
AKT1,IRS1,0
AKT1,KRAS,0
AKT1,MTOR,2
AKT1,NFKB1,10
AKT1,PIK3CA,0
AKT1,RHEB,2
AKT1,SIRT1,0
ATM/ATR,,4
CDK2/4/6,,4
CDK2/4/6,PDK1,1
CDK2/4/6,PIK3CA,1
CDKN1A,,3
CDKN2A,,3
FOXO3,,4
IGF1R,,10
IGF1R,IKBKB,2
IGF1R,INSR,7
IGF1R,KRAS,1
IGF1R,MTOR,2
IGF1R,NFKB1,0
IGF1R,RHEB,2
IKBKB,,5
IKBKB,INSR,0
IKBKB,IRS1,2
IKBKB,KRAS,1
IKBKB,MTOR,14
IKBKB,PIK3CA,2
IKBKB,RHEB,2
INSR,,7
INSR,IRS1,0
INSR,SIRT1,0
IRS1,,16
IRS1,KRAS,2
IRS1,MTOR,2
IRS1,NFKB1,0
IRS1,RHEB,2
IRS1,SIRT1,0
KRAS,,10
KRAS,MTOR,0
KRAS,NFKB1,0
KRAS,RHEB,0
MAP2K3/MAP2K6,,3
MAPK1,,4
MAPK14,,3
MDM2,,4
MTOR,,13
MTOR,NFKB1,19
MTOR,PDK1,2
MTOR,PIK3CA,2
NAD+,,4
NFKB1,,4
NFKB1,PDK1,2
NFKB1,PIK3CA,2
NFKB1,RHEB,3
NFKBIE,,1
PDK1,,24
PDK1,RHEB,2
PDK1,SIRT1,0
PIK3CA,,20
PIK3CA,RHEB,2
PIK3CA,SIRT1,0
PPARGC1A,,4
PTEN,,2
RB1,,0
RHEB,,7
ROS,,4
SGK1,,4
SIRT1,,4
SOD2,,4
TP53,,1
TSC2,,3
