,,count
AKT1,,122
AKT1,ATM/ATR,1
AKT1,CDK2/4/6,2
AKT1,IGF1R,1
AKT1,IKBKB,28
AKT1,INSR,0
AKT1,IRS1,1
AKT1,KRAS,1
AKT1,MDM2,1
AKT1,MTOR,12
AKT1,NFKB1,46
AKT1,PIK3CA,1
AKT1,RHEB,1
AKT1,TP53,1
AMPK,,11
ATM/ATR,,34
ATM/ATR,IRS1,0
ATM/ATR,NFKB1,0
ATM/ATR,PDK1,1
ATM/ATR,PIK3CA,0
CDK2/4/6,,38
CDK2/4/6,IGF1R,1
CDK2/4/6,INSR,1
CDK2/4/6,IRS1,0
CDK2/4/6,KRAS,2
CDK2/4/6,MTOR,6
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,3
CDK2/4/6,PIK3CA,3
CDK2/4/6,RHEB,0
CDKN1A,,36
CDKN2A,,19
CDKN2A,IGF1R,1
CDKN2A,INSR,3
CDKN2A,IRS1,0
CDKN2A,KRAS,2
CDKN2A,PIK3CA,3
FOXO3,,35
IGF1R,,98
IGF1R,IKBKB,7
IGF1R,INSR,31
IGF1R,IRS1,0
IGF1R,KRAS,4
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MDM2,1
IGF1R,MTOR,14
IGF1R,NFKB1,8
IGF1R,RHEB,2
IGF1R,TP53,0
IKBKB,,48
IKBKB,INSR,3
IKBKB,IRS1,7
IKBKB,KRAS,5
IKBKB,MTOR,93
IKBKB,PIK3CA,10
IKBKB,RHEB,15
INSR,,58
INSR,IRS1,3
INSR,KRAS,1
INSR,MAP2K3/MAP2K6,1
INSR,MAPK14,1
INSR,MDM2,0
INSR,MTOR,7
INSR,NAD+,0
INSR,NFKB1,2
INSR,RHEB,1
INSR,SIRT1,0
IRS1,,105
IRS1,KRAS,15
IRS1,MDM2,3
IRS1,MTOR,12
IRS1,NFKB1,10
IRS1,RHEB,1
IRS1,TP53,0
KRAS,,91
KRAS,MAP2K3/MAP2K6,1
KRAS,MAPK14,1
KRAS,MDM2,2
KRAS,MTOR,11
KRAS,NAD+,0
KRAS,NFKB1,4
KRAS,RHEB,2
KRAS,SIRT1,0
KRAS,TP53,0
MAP2K3/MAP2K6,,19
MAP2K3/MAP2K6,PIK3CA,1
MAPK1,,36
MAPK14,,19
MAPK14,PIK3CA,1
MDM2,,38
MDM2,MTOR,1
MDM2,NFKB1,1
MDM2,PDK1,2
MDM2,PIK3CA,4
MDM2,RHEB,0
MTOR,,84
MTOR,NFKB1,120
MTOR,PDK1,25
MTOR,PIK3CA,23
NAD+,,32
NAD+,NFKB1,0
NAD+,PIK3CA,0
NFKB1,,49
NFKB1,PDK1,17
NFKB1,PIK3CA,14
NFKB1,RHEB,20
NFKB1,SIRT1,1
NFKB1,TP53,0
NFKBIE,,6
PDK1,,156
PDK1,RHEB,5
PDK1,TP53,2
PIK3CA,,140
PIK3CA,RHEB,4
PIK3CA,SIRT1,0
PIK3CA,TP53,1
PPARGC1A,,36
PTEN,,23
RB1,,6
RHEB,,43
ROS,,34
SGK1,,36
SIRT1,,19
SOD2,,37
TP53,,21
TSC2,,30
