,,count
AKT1,,154
AKT1,CDK2/4/6,2
AKT1,IKBKB,35
AKT1,IRS1,0
AKT1,MDM2,1
AKT1,MTOR,21
AKT1,NFKB1,59
AKT1,PIK3CA,0
AKT1,RHEB,1
AKT1,SIRT1,0
AMPK,,11
ATM/ATR,,38
CDK2/4/6,,42
CDK2/4/6,IGF1R,1
CDK2/4/6,IRS1,0
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,2
CDK2/4/6,PDK1,3
CDK2/4/6,PIK3CA,2
CDK2/4/6,SIRT1,0
CDKN1A,,36
CDKN2A,,24
CDKN2A,IGF1R,2
CDKN2A,INSR,1
CDKN2A,IRS1,2
CDKN2A,KRAS,2
CDKN2A,PIK3CA,3
FOXO3,,40
IGF1R,,113
IGF1R,IKBKB,6
IGF1R,INSR,51
IGF1R,IRS1,3
IGF1R,KRAS,4
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MDM2,0
IGF1R,MTOR,16
IGF1R,NFKB1,10
IGF1R,RHEB,3
IGF1R,SIRT1,0
IKBKB,,54
IKBKB,INSR,3
IKBKB,IRS1,11
IKBKB,KRAS,6
IKBKB,MDM2,2
IKBKB,MTOR,124
IKBKB,PIK3CA,14
IKBKB,RHEB,10
INSR,,65
INSR,IRS1,6
INSR,KRAS,4
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MDM2,1
INSR,MTOR,7
INSR,NFKB1,3
INSR,RHEB,2
IRS1,,133
IRS1,KRAS,28
IRS1,MDM2,3
IRS1,MTOR,18
IRS1,NFKB1,10
IRS1,RHEB,3
IRS1,SIRT1,0
KRAS,,93
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MDM2,1
KRAS,MTOR,14
KRAS,NFKB1,7
KRAS,RHEB,4
KRAS,SIRT1,0
MAP2K3/MAP2K6,,20
MAP2K3/MAP2K6,PDK1,0
MAP2K3/MAP2K6,PIK3CA,1
MAPK1,,40
MAPK14,,20
MAPK14,PDK1,0
MAPK14,PIK3CA,1
MDM2,,41
MDM2,MTOR,4
MDM2,NFKB1,2
MDM2,PDK1,4
MDM2,PIK3CA,5
MDM2,RHEB,0
MTOR,,101
MTOR,NFKB1,155
MTOR,PDK1,35
MTOR,PIK3CA,28
MTOR,TP53,0
NAD+,,38
NAD+,NFKB1,0
NFKB1,,62
NFKB1,PDK1,23
NFKB1,PIK3CA,16
NFKB1,RHEB,15
NFKB1,SIRT1,3
NFKBIE,,7
PDK1,,196
PDK1,RHEB,6
PDK1,SIRT1,0
PDK1,TP53,0
PIK3CA,,174
PIK3CA,RHEB,5
PIK3CA,SIRT1,0
PIK3CA,TP53,0
PPARGC1A,,40
PTEN,,29
RB1,,8
RHEB,,54
RHEB,TP53,0
ROS,,35
SGK1,,40
SIRT1,,32
SOD2,,40
TP53,,23
TSC2,,37
