,,count
AKT1,,126
AKT1,CDK2/4/6,2
AKT1,IKBKB,18
AKT1,IRS1,0
AKT1,MDM2,3
AKT1,MTOR,21
AKT1,NFKB1,34
AKT1,PIK3CA,0
AKT1,RHEB,3
AMPK,,8
ATM/ATR,,33
CDK2/4/6,,36
CDK2/4/6,IGF1R,0
CDK2/4/6,IKBKB,0
CDK2/4/6,IRS1,1
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,4
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,2
CDK2/4/6,PIK3CA,2
CDKN1A,,31
CDKN2A,,22
CDKN2A,IRS1,2
CDKN2A,KRAS,0
CDKN2A,PIK3CA,2
FOXO3,,33
IGF1R,,93
IGF1R,IKBKB,2
IGF1R,INSR,23
IGF1R,IRS1,3
IGF1R,KRAS,2
IGF1R,MDM2,0
IGF1R,MTOR,16
IGF1R,NFKB1,10
IGF1R,RHEB,1
IGF1R,SIRT1,0
IKBKB,,47
IKBKB,INSR,0
IKBKB,IRS1,7
IKBKB,KRAS,4
IKBKB,MTOR,93
IKBKB,PIK3CA,10
IKBKB,RHEB,6
INSR,,60
INSR,IRS1,4
INSR,KRAS,2
INSR,MDM2,1
INSR,MTOR,2
INSR,NFKB1,5
IRS1,,102
IRS1,KRAS,20
IRS1,MAP2K3/MAP2K6,1
IRS1,MAPK14,1
IRS1,MDM2,4
IRS1,MTOR,15
IRS1,NFKB1,11
IRS1,RHEB,2
KRAS,,77
KRAS,MDM2,0
KRAS,MTOR,12
KRAS,NFKB1,10
KRAS,RHEB,2
KRAS,SIRT1,0
MAP2K3/MAP2K6,,22
MAP2K3/MAP2K6,PIK3CA,1
MAPK1,,35
MAPK14,,22
MAPK14,PIK3CA,1
MDM2,,35
MDM2,MTOR,4
MDM2,NFKB1,1
MDM2,PDK1,5
MDM2,PIK3CA,5
MDM2,SIRT1,0
MTOR,,88
MTOR,NFKB1,109
MTOR,PDK1,32
MTOR,PIK3CA,26
MTOR,SGK1,0
MTOR,SOD2,0
NAD+,,31
NFKB1,,50
NFKB1,PDK1,15
NFKB1,PIK3CA,13
NFKB1,RHEB,10
NFKB1,SIRT1,0
NFKBIE,,5
PDK1,,150
PDK1,RHEB,4
PDK1,SIRT1,0
PDK1,TP53,0
PIK3CA,,130
PIK3CA,RHEB,3
PIK3CA,SIRT1,0
PPARGC1A,,35
PTEN,,21
RB1,,8
RHEB,,49
ROS,,31
SGK1,,35
SIRT1,,25
SOD2,,35
TP53,,23
TSC2,,32
