,,count
AKT1,,25
AKT1,IKBKB,0
AKT1,MDM2,0
AKT1,MTOR,4
AKT1,NFKB1,1
AKT1,RHEB,0
AKT1,TP53,0
AMPK,,1
ATM/ATR,,6
CDK2/4/6,,6
CDK2/4/6,IGF1R,0
CDK2/4/6,IKBKB,0
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,0
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,0
CDK2/4/6,PIK3CA,0
CDKN1A,,6
CDKN2A,,1
CDKN2A,IGF1R,0
CDKN2A,INSR,0
CDKN2A,IRS1,0
CDKN2A,KRAS,0
CDKN2A,PIK3CA,0
FOXO3,,6
IGF1R,,17
IGF1R,IKBKB,1
IGF1R,INSR,3
IGF1R,MTOR,2
IGF1R,NFKB1,0
IGF1R,RHEB,0
IKBKB,,7
IKBKB,INSR,0
IKBKB,IRS1,1
IKBKB,KRAS,0
IKBKB,MTOR,16
IKBKB,PIK3CA,1
IKBKB,RHEB,1
INSR,,11
INSR,IRS1,0
INSR,MDM2,1
INSR,TP53,0
IRS1,,19
IRS1,KRAS,1
IRS1,MTOR,2
KRAS,,16
KRAS,MTOR,1
KRAS,NFKB1,0
KRAS,RHEB,0
MAP2K3/MAP2K6,,1
MAPK1,,6
MAPK14,,1
MDM2,,6
MDM2,MTOR,1
MDM2,PDK1,0
MDM2,PIK3CA,0
MDM2,RHEB,0
MTOR,,13
MTOR,NFKB1,17
MTOR,PDK1,4
MTOR,PIK3CA,3
MTOR,SOD2,0
MTOR,TP53,0
NAD+,,6
NFKB1,,7
NFKB1,PDK1,0
NFKB1,PIK3CA,0
NFKB1,RHEB,1
NFKBIE,,1
PDK1,,27
PDK1,RHEB,0
PDK1,TP53,0
PIK3CA,,25
PIK3CA,RHEB,0
PIK3CA,TP53,0
PPARGC1A,,6
PTEN,,3
RB1,,0
RHEB,,8
RHEB,TP53,0
ROS,,5
SGK1,,6
SIRT1,,5
SOD2,,6
TP53,,2
TSC2,,5
