,,count
AKT1,,108
AKT1,CDK2/4/6,4
AKT1,IGF1R,1
AKT1,IKBKB,20
AKT1,IRS1,2
AKT1,KRAS,0
AKT1,MDM2,2
AKT1,MTOR,15
AKT1,NFKB1,40
AKT1,PIK3CA,2
AKT1,RHEB,3
AKT1,SOD2,0
AMPK,,10
ATM/ATR,,34
ATM/ATR,NFKB1,0
CDK2/4/6,,39
CDK2/4/6,IGF1R,3
CDK2/4/6,INSR,0
CDK2/4/6,IRS1,2
CDK2/4/6,KRAS,1
CDK2/4/6,MTOR,0
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,4
CDK2/4/6,PIK3CA,4
CDKN1A,,31
CDKN2A,,21
CDKN2A,IGF1R,1
CDKN2A,INSR,0
CDKN2A,IRS1,1
CDKN2A,KRAS,1
CDKN2A,PIK3CA,2
FOXO3,,34
FOXO3,NFKB1,0
IGF1R,,84
IGF1R,IKBKB,3
IGF1R,INSR,19
IGF1R,IRS1,1
IGF1R,KRAS,2
IGF1R,MAP2K3/MAP2K6,1
IGF1R,MAPK14,1
IGF1R,MDM2,1
IGF1R,MTOR,12
IGF1R,NFKB1,9
IGF1R,RHEB,3
IKBKB,,46
IKBKB,INSR,1
IKBKB,IRS1,6
IKBKB,KRAS,3
IKBKB,MTOR,82
IKBKB,PIK3CA,7
IKBKB,RHEB,9
INSR,,57
INSR,IRS1,1
INSR,KRAS,2
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MDM2,1
INSR,MTOR,1
INSR,NFKB1,6
INSR,SOD2,0
IRS1,,91
IRS1,KRAS,13
IRS1,MAP2K3/MAP2K6,0
IRS1,MAPK14,0
IRS1,MDM2,3
IRS1,MTOR,14
IRS1,NFKB1,12
IRS1,RHEB,3
IRS1,SOD2,0
KRAS,,72
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MDM2,0
KRAS,MTOR,9
KRAS,NFKB1,9
KRAS,RHEB,2
MAP2K3/MAP2K6,,20
MAP2K3/MAP2K6,PIK3CA,1
MAPK1,,36
MAPK14,,20
MAPK14,PIK3CA,1
MDM2,,38
MDM2,MTOR,3
MDM2,NFKB1,4
MDM2,PDK1,3
MDM2,PIK3CA,4
MDM2,RHEB,0
MDM2,SIRT1,0
MTOR,,75
MTOR,NFKB1,104
MTOR,PDK1,24
MTOR,PIK3CA,22
MTOR,SOD2,0
MTOR,TP53,0
NAD+,,31
NAD+,NFKB1,1
NFKB1,,48
NFKB1,PDK1,19
NFKB1,PIK3CA,17
NFKB1,RHEB,11
NFKB1,SIRT1,3
NFKB1,SOD2,0
NFKB1,TP53,0
NFKBIE,,8
PDK1,,132
PDK1,RHEB,5
PDK1,SOD2,0
PDK1,TP53,0
PIK3CA,,116
PIK3CA,RHEB,3
PIK3CA,SOD2,0
PPARGC1A,,36
PTEN,,21
RB1,,6
RHEB,,45
RHEB,TP53,0
ROS,,30
SGK1,,36
SIRT1,,26
SOD2,,36
TP53,,21
TSC2,,34
