,,count
AKT1,,73
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,3
AKT1,IKBKB,14
AKT1,MDM2,2
AKT1,MTOR,6
AKT1,NFKB1,21
AKT1,RHEB,0
AKT1,SOD2,0
AKT1,TP53,0
AMPK,,3
ATM/ATR,,13
ATM/ATR,IRS1,0
ATM/ATR,KRAS,0
ATM/ATR,PDK1,0
ATM/ATR,PIK3CA,0
CDK2/4/6,,14
CDK2/4/6,IGF1R,0
CDK2/4/6,IKBKB,0
CDK2/4/6,INSR,0
CDK2/4/6,IRS1,2
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,0
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,3
CDK2/4/6,PIK3CA,2
CDK2/4/6,SIRT1,0
CDKN1A,,12
CDKN2A,,7
CDKN2A,IGF1R,0
CDKN2A,INSR,1
CDKN2A,IRS1,1
CDKN2A,KRAS,0
CDKN2A,PIK3CA,2
FOXO3,,14
IGF1R,,47
IGF1R,IKBKB,4
IGF1R,INSR,22
IGF1R,IRS1,0
IGF1R,KRAS,1
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MDM2,1
IGF1R,MTOR,4
IGF1R,NFKB1,2
IGF1R,RHEB,0
IGF1R,ROS,0
IGF1R,SIRT1,0
IKBKB,,20
IKBKB,INSR,2
IKBKB,IRS1,7
IKBKB,KRAS,3
IKBKB,MDM2,0
IKBKB,MTOR,57
IKBKB,PIK3CA,8
IKBKB,RHEB,7
INSR,,26
INSR,IRS1,1
INSR,KRAS,1
INSR,MAP2K3/MAP2K6,1
INSR,MAPK14,1
INSR,MTOR,0
INSR,NAD+,0
INSR,NFKB1,1
INSR,SIRT1,1
IRS1,,52
IRS1,KRAS,13
IRS1,MAP2K3/MAP2K6,1
IRS1,MAPK14,1
IRS1,MDM2,1
IRS1,MTOR,5
IRS1,NFKB1,4
IRS1,RHEB,1
IRS1,ROS,0
IRS1,SOD2,0
IRS1,TP53,0
KRAS,,45
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MDM2,0
KRAS,MTOR,2
KRAS,NAD+,0
KRAS,NFKB1,2
KRAS,RHEB,1
KRAS,SIRT1,0
KRAS,SOD2,0
KRAS,TP53,0
MAP2K3/MAP2K6,,8
MAP2K3/MAP2K6,PIK3CA,2
MAPK1,,14
MAPK14,,8
MAPK14,PIK3CA,2
MDM2,,14
MDM2,MTOR,2
MDM2,NFKB1,0
MDM2,PDK1,2
MDM2,PIK3CA,2
MTOR,,44
MTOR,NFKB1,65
MTOR,PDK1,9
MTOR,PIK3CA,8
NAD+,,14
NAD+,PIK3CA,0
NFKB1,,22
NFKB1,PDK1,6
NFKB1,PIK3CA,5
NFKB1,RHEB,8
NFKB1,SIRT1,0
NFKBIE,,3
PDK1,,90
PDK1,RHEB,1
PDK1,SOD2,0
PDK1,TP53,0
PIK3CA,,79
PIK3CA,RHEB,1
PIK3CA,ROS,0
PIK3CA,SIRT1,0
PIK3CA,SOD2,0
PIK3CA,TP53,0
PPARGC1A,,14
PTEN,,13
RB1,,2
RHEB,,17
ROS,,11
SGK1,,14
SIRT1,,8
SOD2,,14
TP53,,11
TSC2,,14
