,,count
AKT1,,117
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,1
AKT1,IGF1R,0
AKT1,IKBKB,17
AKT1,INSR,0
AKT1,IRS1,0
AKT1,KRAS,0
AKT1,MDM2,4
AKT1,MTOR,14
AKT1,NFKB1,32
AKT1,PIK3CA,0
AKT1,RHEB,1
AKT1,SIRT1,0
AKT1,TP53,0
AMPK,,8
ATM/ATR,,29
ATM/ATR,IRS1,0
ATM/ATR,PDK1,0
ATM/ATR,PIK3CA,0
CDK2/4/6,,33
CDK2/4/6,IGF1R,0
CDK2/4/6,IKBKB,0
CDK2/4/6,INSR,0
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,1
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,2
CDK2/4/6,PIK3CA,0
CDK2/4/6,SIRT1,0
CDKN1A,,28
CDKN2A,,16
CDKN2A,IGF1R,1
CDKN2A,INSR,2
CDKN2A,IRS1,3
CDKN2A,KRAS,1
CDKN2A,PIK3CA,5
FOXO3,,32
IGF1R,,81
IGF1R,IKBKB,6
IGF1R,INSR,29
IGF1R,IRS1,3
IGF1R,KRAS,2
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MTOR,9
IGF1R,NFKB1,5
IGF1R,RHEB,1
IGF1R,SIRT1,0
IKBKB,,42
IKBKB,INSR,3
IKBKB,IRS1,6
IKBKB,KRAS,3
IKBKB,MDM2,1
IKBKB,MTOR,81
IKBKB,PIK3CA,10
IKBKB,RHEB,5
INSR,,49
INSR,IRS1,4
INSR,KRAS,1
INSR,MAP2K3/MAP2K6,1
INSR,MAPK14,1
INSR,MDM2,1
INSR,MTOR,5
INSR,NAD+,0
INSR,NFKB1,1
INSR,SIRT1,2
IRS1,,94
IRS1,KRAS,14
IRS1,MAP2K3/MAP2K6,2
IRS1,MAPK14,2
IRS1,MDM2,3
IRS1,MTOR,14
IRS1,NFKB1,8
IRS1,RHEB,1
IRS1,SIRT1,0
IRS1,TP53,0
KRAS,,75
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MDM2,1
KRAS,MTOR,8
KRAS,NAD+,0
KRAS,NFKB1,0
KRAS,RHEB,0
KRAS,SIRT1,1
MAP2K3/MAP2K6,,15
MAP2K3/MAP2K6,PIK3CA,3
MAPK1,,32
MAPK14,,15
MAPK14,PIK3CA,3
MDM2,,32
MDM2,MTOR,2
MDM2,NFKB1,2
MDM2,PDK1,4
MDM2,PIK3CA,4
MDM2,RHEB,0
MTOR,,68
MTOR,NFKB1,98
MTOR,PDK1,20
MTOR,PIK3CA,16
MTOR,SGK1,0
NAD+,,31
NAD+,PIK3CA,0
NFKB1,,46
NFKB1,PDK1,14
NFKB1,PIK3CA,9
NFKB1,RHEB,7
NFKBIE,,5
PDK1,,138
PDK1,RHEB,1
PDK1,SIRT1,0
PDK1,TP53,0
PIK3CA,,123
PIK3CA,RHEB,1
PIK3CA,SIRT1,1
PIK3CA,TP53,0
PPARGC1A,,32
PTEN,,23
RB1,,6
RHEB,,42
ROS,,28
SGK1,,32
SIRT1,,24
SOD2,,32
TP53,,16
TSC2,,29
