,,count
AKT1,,105
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,1
AKT1,IGF1R,1
AKT1,IKBKB,23
AKT1,INSR,0
AKT1,IRS1,0
AKT1,KRAS,0
AKT1,MDM2,1
AKT1,MTOR,20
AKT1,NFKB1,34
AKT1,PIK3CA,1
AKT1,RHEB,2
AKT1,TP53,0
AMPK,,6
ATM/ATR,,27
ATM/ATR,PDK1,0
CDK2/4/6,,29
CDK2/4/6,IGF1R,0
CDK2/4/6,IKBKB,1
CDK2/4/6,IRS1,1
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,4
CDK2/4/6,NFKB1,1
CDK2/4/6,PDK1,3
CDK2/4/6,PIK3CA,3
CDKN1A,,27
CDKN2A,,14
CDKN2A,IGF1R,1
CDKN2A,INSR,0
CDKN2A,IRS1,0
CDKN2A,KRAS,0
CDKN2A,PIK3CA,1
FOXO3,,29
IGF1R,,86
IGF1R,IKBKB,2
IGF1R,INSR,30
IGF1R,IRS1,2
IGF1R,KRAS,0
IGF1R,MTOR,13
IGF1R,NFKB1,6
IGF1R,RHEB,4
IKBKB,,37
IKBKB,INSR,3
IKBKB,IRS1,4
IKBKB,KRAS,2
IKBKB,MDM2,0
IKBKB,MTOR,84
IKBKB,PIK3CA,6
IKBKB,RHEB,16
IKBKB,SIRT1,0
INSR,,50
INSR,IRS1,1
INSR,KRAS,0
INSR,MDM2,0
INSR,MTOR,7
INSR,NFKB1,3
INSR,RHEB,0
IRS1,,96
IRS1,KRAS,16
IRS1,MDM2,2
IRS1,MTOR,13
IRS1,NFKB1,6
IRS1,RHEB,3
IRS1,SIRT1,0
KRAS,,77
KRAS,MDM2,0
KRAS,MTOR,8
KRAS,NFKB1,5
KRAS,RHEB,2
KRAS,SIRT1,0
MAP2K3/MAP2K6,,13
MAP2K3/MAP2K6,PDK1,0
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,29
MAPK1,MTOR,0
MAPK14,,13
MAPK14,PDK1,0
MAPK14,PIK3CA,0
MDM2,,30
MDM2,MTOR,6
MDM2,NFKB1,0
MDM2,PDK1,3
MDM2,PIK3CA,3
MDM2,RHEB,0
MTOR,,75
MTOR,NFKB1,102
MTOR,PDK1,30
MTOR,PIK3CA,25
NAD+,,25
NFKB1,,39
NFKB1,PDK1,10
NFKB1,PIK3CA,10
NFKB1,RHEB,23
NFKB1,SIRT1,1
NFKBIE,,5
PDK1,,134
PDK1,RHEB,6
PDK1,SIRT1,0
PDK1,TP53,1
PIK3CA,,124
PIK3CA,RHEB,6
PIK3CA,SIRT1,0
PIK3CA,TP53,0
PPARGC1A,,29
PTEN,,23
RB1,,5
RHEB,,35
ROS,,28
SGK1,,29
SIRT1,,17
SOD2,,30
TP53,,17
TSC2,,24
