,,count
AKT1,,10
AKT1,IGF1R,0
AKT1,IRS1,0
AKT1,MTOR,2
AKT1,NFKB1,1
AKT1,PIK3CA,0
ATM/ATR,,1
CDK2/4/6,,1
CDK2/4/6,MTOR,0
CDKN1A,,1
CDKN2A,,0
CDKN2A,IGF1R,0
CDKN2A,IRS1,1
CDKN2A,KRAS,0
CDKN2A,PIK3CA,1
FOXO3,,1
IGF1R,,4
IGF1R,INSR,2
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MTOR,1
IGF1R,NFKB1,1
IKBKB,,2
IKBKB,IRS1,0
IKBKB,KRAS,0
IKBKB,MTOR,7
IKBKB,PIK3CA,0
IKBKB,RHEB,1
INSR,,4
INSR,MTOR,0
IRS1,,3
IRS1,KRAS,0
IRS1,MAP2K3/MAP2K6,0
IRS1,MAPK14,0
IRS1,MTOR,0
IRS1,NFKB1,1
KRAS,,8
KRAS,MTOR,0
KRAS,NFKB1,0
MAP2K3/MAP2K6,,0
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,1
MAPK14,,0
MAPK14,PIK3CA,0
MDM2,,1
MTOR,,6
MTOR,NFKB1,9
MTOR,PDK1,3
MTOR,PIK3CA,2
NAD+,,0
NFKB1,,4
NFKB1,PDK1,1
NFKB1,PIK3CA,1
NFKB1,RHEB,1
PDK1,,11
PIK3CA,,9
PPARGC1A,,1
PTEN,,1
RB1,,0
RHEB,,1
ROS,,0
SGK1,,1
SIRT1,,0
SOD2,,1
TP53,,0
TSC2,,1
