,,count
AKT1,,43
AKT1,CDK2/4/6,0
AKT1,IGF1R,0
AKT1,IKBKB,8
AKT1,INSR,0
AKT1,IRS1,1
AKT1,KRAS,0
AKT1,MTOR,3
AKT1,NFKB1,11
AKT1,PIK3CA,1
AKT1,SIRT1,0
AMPK,,4
ATM/ATR,,12
CDK2/4/6,,13
CDK2/4/6,PDK1,0
CDK2/4/6,PIK3CA,0
CDKN1A,,10
CDKN2A,,7
CDKN2A,INSR,0
CDKN2A,IRS1,0
CDKN2A,PIK3CA,0
FOXO3,,13
IGF1R,,32
IGF1R,IKBKB,1
IGF1R,INSR,9
IGF1R,IRS1,0
IGF1R,MTOR,5
IGF1R,NFKB1,1
IGF1R,RHEB,1
IKBKB,,15
IKBKB,INSR,1
IKBKB,IRS1,4
IKBKB,KRAS,3
IKBKB,MDM2,0
IKBKB,MTOR,33
IKBKB,PIK3CA,6
IKBKB,RHEB,2
INSR,,21
INSR,IRS1,1
INSR,KRAS,0
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MTOR,0
INSR,NFKB1,1
INSR,SIRT1,0
IRS1,,35
IRS1,KRAS,5
IRS1,MAP2K3/MAP2K6,0
IRS1,MAPK14,0
IRS1,MTOR,5
IRS1,NFKB1,0
IRS1,RHEB,0
IRS1,SIRT1,0
KRAS,,29
KRAS,MTOR,3
KRAS,NFKB1,0
KRAS,RHEB,1
KRAS,SIRT1,0
MAP2K3/MAP2K6,,4
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,13
MAPK14,,4
MAPK14,PIK3CA,0
MDM2,,13
MDM2,NFKB1,0
MTOR,,29
MTOR,NFKB1,35
MTOR,PDK1,6
MTOR,PIK3CA,6
NAD+,,11
NFKB1,,17
NFKB1,PDK1,2
NFKB1,PIK3CA,2
NFKB1,RHEB,2
NFKBIE,,4
PDK1,,52
PDK1,RHEB,1
PDK1,SIRT1,0
PIK3CA,,45
PIK3CA,RHEB,1
PIK3CA,SIRT1,0
PPARGC1A,,13
PTEN,,9
RB1,,2
RHEB,,16
ROS,,11
SGK1,,13
SIRT1,,9
SOD2,,13
TP53,,5
TSC2,,10
