,,count
AKT1,,75
AKT1,CDK2/4/6,2
AKT1,IGF1R,0
AKT1,IKBKB,17
AKT1,IRS1,0
AKT1,KRAS,0
AKT1,MDM2,1
AKT1,MTOR,9
AKT1,NFKB1,27
AKT1,PIK3CA,0
AKT1,RHEB,6
AMPK,,6
ATM/ATR,,19
CDK2/4/6,,22
CDK2/4/6,IGF1R,1
CDK2/4/6,IKBKB,2
CDK2/4/6,INSR,0
CDK2/4/6,IRS1,0
CDK2/4/6,KRAS,1
CDK2/4/6,MTOR,1
CDK2/4/6,NFKB1,3
CDK2/4/6,PDK1,4
CDK2/4/6,PIK3CA,2
CDK2/4/6,SIRT1,0
CDKN1A,,18
CDKN2A,,12
CDKN2A,IGF1R,1
CDKN2A,INSR,1
CDKN2A,IRS1,2
CDKN2A,PIK3CA,3
FOXO3,,20
IGF1R,,52
IGF1R,IKBKB,3
IGF1R,INSR,19
IGF1R,IRS1,4
IGF1R,KRAS,1
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MDM2,1
IGF1R,MTOR,5
IGF1R,NFKB1,3
IGF1R,RHEB,5
IGF1R,ROS,0
IKBKB,,23
IKBKB,INSR,1
IKBKB,IRS1,6
IKBKB,KRAS,1
IKBKB,MDM2,0
IKBKB,MTOR,61
IKBKB,PIK3CA,8
IKBKB,RHEB,6
INSR,,40
INSR,IRS1,2
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MDM2,1
INSR,MTOR,4
INSR,NFKB1,3
INSR,RHEB,0
IRS1,,58
IRS1,KRAS,17
IRS1,MAP2K3/MAP2K6,1
IRS1,MAPK14,1
IRS1,MDM2,3
IRS1,MTOR,11
IRS1,NFKB1,2
IRS1,RHEB,5
IRS1,ROS,0
KRAS,,44
KRAS,MDM2,1
KRAS,MTOR,4
KRAS,NFKB1,4
KRAS,RHEB,2
MAP2K3/MAP2K6,,11
MAP2K3/MAP2K6,PDK1,0
MAP2K3/MAP2K6,PIK3CA,2
MAPK1,,21
MAPK14,,11
MAPK14,PDK1,0
MAPK14,PIK3CA,2
MDM2,,22
MDM2,MTOR,0
MDM2,NFKB1,1
MDM2,PDK1,4
MDM2,PIK3CA,4
MTOR,,59
MTOR,NFKB1,75
MTOR,PDK1,15
MTOR,PIK3CA,12
NAD+,,19
NFKB1,,27
NFKB1,PDK1,9
NFKB1,PIK3CA,8
NFKB1,RHEB,9
NFKB1,SIRT1,0
NFKBIE,,3
PDK1,,94
PDK1,RHEB,7
PDK1,TP53,1
PIK3CA,,83
PIK3CA,RHEB,5
PIK3CA,ROS,0
PIK3CA,TP53,0
PPARGC1A,,21
PTEN,,13
RB1,,5
RHEB,,31
ROS,,19
SGK1,,21
SIRT1,,15
SOD2,,21
TP53,,14
TSC2,,19
