,,count
AKT1,,20
AKT1,IKBKB,5
AKT1,MDM2,0
AKT1,MTOR,2
AKT1,NFKB1,6
AKT1,RHEB,1
AMPK,,2
ATM/ATR,,6
CDK2/4/6,,6
CDK2/4/6,IKBKB,0
CDK2/4/6,MTOR,0
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,0
CDKN1A,,5
CDKN2A,,3
CDKN2A,INSR,0
CDKN2A,KRAS,0
CDKN2A,PIK3CA,0
FOXO3,,6
IGF1R,,12
IGF1R,IKBKB,1
IGF1R,INSR,5
IGF1R,IRS1,0
IGF1R,MDM2,0
IGF1R,MTOR,3
IGF1R,RHEB,3
IKBKB,,6
IKBKB,INSR,1
IKBKB,IRS1,2
IKBKB,KRAS,2
IKBKB,MTOR,21
IKBKB,PIK3CA,3
IKBKB,RHEB,2
INSR,,11
INSR,IRS1,0
INSR,KRAS,0
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MTOR,0
INSR,NAD+,0
INSR,RHEB,0
INSR,SIRT1,0
IRS1,,18
IRS1,KRAS,1
IRS1,MTOR,2
IRS1,RHEB,1
KRAS,,13
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MTOR,2
KRAS,NAD+,0
KRAS,RHEB,2
KRAS,SIRT1,0
MAP2K3/MAP2K6,,3
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,6
MAPK14,,3
MAPK14,PIK3CA,0
MDM2,,6
MDM2,MTOR,0
MDM2,PDK1,0
MDM2,PIK3CA,0
MTOR,,8
MTOR,NFKB1,24
MTOR,PDK1,5
MTOR,PIK3CA,5
NAD+,,6
NAD+,PIK3CA,0
NFKB1,,6
NFKB1,PDK1,0
NFKB1,RHEB,2
NFKBIE,,1
PDK1,,26
PDK1,RHEB,4
PIK3CA,,21
PIK3CA,RHEB,4
PIK3CA,SIRT1,0
PPARGC1A,,6
PTEN,,5
RB1,,0
RHEB,,6
ROS,,6
SGK1,,6
SIRT1,,4
SOD2,,6
TP53,,5
TSC2,,6
