,,count
AKT1,,84
AKT1,IKBKB,16
AKT1,MDM2,3
AKT1,MTOR,10
AKT1,NFKB1,31
AKT1,RHEB,1
AKT1,SOD2,0
AMPK,,5
ATM/ATR,,19
CDK2/4/6,,21
CDK2/4/6,MTOR,2
CDK2/4/6,PDK1,0
CDK2/4/6,PIK3CA,0
CDKN1A,,18
CDKN2A,,13
CDKN2A,IGF1R,1
CDKN2A,INSR,0
CDKN2A,IRS1,1
CDKN2A,KRAS,0
CDKN2A,PIK3CA,1
FOXO3,,20
IGF1R,,66
IGF1R,IKBKB,2
IGF1R,INSR,20
IGF1R,IRS1,0
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MTOR,5
IGF1R,NFKB1,8
IGF1R,RHEB,0
IKBKB,,28
IKBKB,INSR,0
IKBKB,IRS1,3
IKBKB,KRAS,0
IKBKB,MDM2,1
IKBKB,MTOR,66
IKBKB,PIK3CA,4
IKBKB,RHEB,6
IKBKB,SIRT1,0
INSR,,35
INSR,IRS1,2
INSR,KRAS,1
INSR,MDM2,1
INSR,MTOR,5
INSR,NFKB1,2
INSR,RHEB,0
INSR,SOD2,0
IRS1,,75
IRS1,KRAS,10
IRS1,MAP2K3/MAP2K6,0
IRS1,MAPK14,0
IRS1,MDM2,2
IRS1,MTOR,6
IRS1,NFKB1,8
IRS1,SIRT1,0
IRS1,SOD2,0
KRAS,,53
KRAS,MDM2,0
KRAS,MTOR,6
KRAS,NFKB1,5
KRAS,RHEB,1
KRAS,SIRT1,0
MAP2K3/MAP2K6,,13
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,21
MAPK14,,13
MAPK14,PIK3CA,0
MDM2,,21
MDM2,MTOR,3
MDM2,NFKB1,1
MDM2,PDK1,3
MDM2,PIK3CA,2
MDM2,RHEB,0
MTOR,,53
MTOR,NFKB1,83
MTOR,PDK1,16
MTOR,PIK3CA,11
MTOR,SOD2,0
NAD+,,21
NAD+,NFKB1,0
NFKB1,,31
NFKB1,PDK1,14
NFKB1,PIK3CA,12
NFKB1,RHEB,9
NFKB1,SIRT1,1
NFKBIE,,2
PDK1,,105
PDK1,RHEB,3
PDK1,SIRT1,0
PDK1,SOD2,0
PIK3CA,,97
PIK3CA,RHEB,2
PIK3CA,SIRT1,0
PIK3CA,SOD2,0
PPARGC1A,,21
PTEN,,15
RB1,,3
RHEB,,27
ROS,,19
SGK1,,21
SIRT1,,16
SOD2,,21
TP53,,6
TSC2,,21
