,,count
AKT1,,419
AKT1,ATM/ATR,1
AKT1,CDK2/4/6,9
AKT1,IGF1R,3
AKT1,IKBKB,85
AKT1,INSR,0
AKT1,IRS1,3
AKT1,KRAS,1
AKT1,MDM2,11
AKT1,MTOR,58
AKT1,NFKB1,149
AKT1,PIK3CA,4
AKT1,RHEB,10
AKT1,SIRT1,2
AKT1,SOD2,0
AKT1,TP53,2
AMPK,,37
ATM/ATR,,118
ATM/ATR,IRS1,0
ATM/ATR,NFKB1,0
ATM/ATR,PDK1,1
ATM/ATR,PIK3CA,0
CDK2/4/6,,130
CDK2/4/6,IGF1R,7
CDK2/4/6,IKBKB,1
CDK2/4/6,INSR,3
CDK2/4/6,IRS1,5
CDK2/4/6,KRAS,5
CDK2/4/6,MTOR,13
CDK2/4/6,NFKB1,2
CDK2/4/6,PDK1,13
CDK2/4/6,PIK3CA,11
CDK2/4/6,RHEB,0
CDK2/4/6,SIRT1,0
CDKN1A,,115
CDKN2A,,68
CDKN2A,IGF1R,7
CDKN2A,INSR,3
CDKN2A,IRS1,8
CDKN2A,KRAS,1
CDKN2A,PIK3CA,12
FOXO3,,123
FOXO3,NFKB1,0
IGF1R,,314
IGF1R,IKBKB,17
IGF1R,INSR,108
IGF1R,IRS1,11
IGF1R,KRAS,11
IGF1R,MAP2K3/MAP2K6,3
IGF1R,MAPK14,3
IGF1R,MDM2,5
IGF1R,MTOR,46
IGF1R,NFKB1,32
IGF1R,RHEB,11
IGF1R,ROS,0
IGF1R,SIRT1,1
IGF1R,TP53,0
IKBKB,,163
IKBKB,INSR,4
IKBKB,IRS1,22
IKBKB,KRAS,6
IKBKB,MDM2,1
IKBKB,MTOR,328
IKBKB,PIK3CA,31
IKBKB,RHEB,40
INSR,,209
INSR,IRS1,13
INSR,KRAS,8
INSR,MAP2K3/MAP2K6,1
INSR,MAPK14,1
INSR,MDM2,5
INSR,MTOR,19
INSR,NFKB1,11
INSR,RHEB,4
INSR,SIRT1,2
INSR,SOD2,0
INSR,TP53,0
IRS1,,349
IRS1,KRAS,72
IRS1,MAP2K3/MAP2K6,5
IRS1,MAPK14,5
IRS1,MDM2,13
IRS1,MTOR,52
IRS1,NFKB1,35
IRS1,RHEB,12
IRS1,ROS,0
IRS1,SIRT1,2
IRS1,SOD2,0
IRS1,TP53,0
KRAS,,280
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MDM2,6
KRAS,MTOR,35
KRAS,NFKB1,22
KRAS,RHEB,8
KRAS,SIRT1,1
KRAS,TP53,0
MAP2K3/MAP2K6,,65
MAP2K3/MAP2K6,PDK1,0
MAP2K3/MAP2K6,PIK3CA,7
MAPK1,,126
MAPK1,MTOR,0
MAPK14,,65
MAPK14,PDK1,0
MAPK14,PIK3CA,7
MDM2,,128
MDM2,MTOR,12
MDM2,NFKB1,7
MDM2,PDK1,16
MDM2,PIK3CA,19
MDM2,RHEB,2
MDM2,SIRT1,0
MTOR,,280
MTOR,NFKB1,406
MTOR,PDK1,89
MTOR,PIK3CA,77
MTOR,SGK1,0
MTOR,SOD2,0
NAD+,,113
NAD+,NFKB1,1
NFKB1,,180
NFKB1,PDK1,63
NFKB1,PIK3CA,51
NFKB1,RHEB,56
NFKB1,SIRT1,4
NFKB1,SOD2,0
NFKB1,TP53,0
NFKBIE,,24
PDK1,,521
PDK1,RHEB,16
PDK1,SIRT1,2
PDK1,SOD2,0
PDK1,TP53,5
PIK3CA,,469
PIK3CA,RHEB,15
PIK3CA,ROS,0
PIK3CA,SIRT1,2
PIK3CA,SOD2,0
PIK3CA,TP53,3
PPARGC1A,,126
PTEN,,89
RB1,,25
RHEB,,156
ROS,,113
SGK1,,126
SIRT1,,84
SOD2,,128
TP53,,76
TSC2,,110
