,,count
AKT1,,13
AKT1,CDK2/4/6,0
AKT1,IKBKB,0
AKT1,MTOR,2
AKT1,NFKB1,4
AKT1,RHEB,0
ATM/ATR,,3
CDK2/4/6,,3
CDK2/4/6,IGF1R,0
CDK2/4/6,INSR,0
CDK2/4/6,KRAS,0
CDK2/4/6,MTOR,0
CDK2/4/6,PDK1,1
CDK2/4/6,PIK3CA,1
CDKN1A,,3
CDKN2A,,0
FOXO3,,3
IGF1R,,8
IGF1R,IKBKB,0
IGF1R,INSR,0
IGF1R,MTOR,3
IGF1R,NFKB1,0
IGF1R,RHEB,0
IKBKB,,3
IKBKB,KRAS,0
IKBKB,MTOR,8
IKBKB,PIK3CA,0
IKBKB,SIRT1,0
INSR,,9
INSR,IRS1,0
INSR,MTOR,0
INSR,RHEB,0
IRS1,,8
IRS1,KRAS,2
IRS1,MTOR,3
IRS1,NFKB1,1
IRS1,RHEB,0
IRS1,SIRT1,0
KRAS,,7
KRAS,MTOR,0
KRAS,SIRT1,0
MAP2K3/MAP2K6,,1
MAPK1,,3
MAPK14,,1
MDM2,,3
MDM2,NFKB1,0
MTOR,,7
MTOR,NFKB1,11
MTOR,PDK1,3
MTOR,PIK3CA,3
NAD+,,2
NFKB1,,3
NFKB1,PDK1,3
NFKB1,PIK3CA,1
NFKB1,SIRT1,0
NFKBIE,,0
PDK1,,14
PDK1,RHEB,0
PDK1,SIRT1,0
PIK3CA,,13
PIK3CA,RHEB,0
PIK3CA,SIRT1,0
PPARGC1A,,3
PTEN,,3
RHEB,,3
ROS,,3
SGK1,,3
SIRT1,,0
SOD2,,3
TP53,,2
TSC2,,2
