,,count
AKT1,,64
AKT1,CDK2/4/6,0
AKT1,IGF1R,2
AKT1,IKBKB,10
AKT1,INSR,1
AKT1,IRS1,2
AKT1,KRAS,1
AKT1,MDM2,1
AKT1,MTOR,9
AKT1,NFKB1,20
AKT1,PIK3CA,3
AKT1,RHEB,0
AMPK,,3
ATM/ATR,,19
CDK2/4/6,,22
CDK2/4/6,IRS1,0
CDK2/4/6,MTOR,0
CDK2/4/6,PDK1,0
CDK2/4/6,PIK3CA,0
CDKN1A,,19
CDKN2A,,12
CDKN2A,IGF1R,2
CDKN2A,INSR,0
CDKN2A,IRS1,3
CDKN2A,KRAS,1
CDKN2A,PIK3CA,4
FOXO3,,21
IGF1R,,49
IGF1R,IKBKB,3
IGF1R,INSR,13
IGF1R,IRS1,1
IGF1R,KRAS,0
IGF1R,MAP2K3/MAP2K6,1
IGF1R,MAPK14,1
IGF1R,MTOR,7
IGF1R,NFKB1,4
IGF1R,RHEB,1
IKBKB,,29
IKBKB,INSR,3
IKBKB,IRS1,5
IKBKB,KRAS,4
IKBKB,MDM2,0
IKBKB,MTOR,51
IKBKB,PIK3CA,7
IKBKB,RHEB,4
INSR,,29
INSR,IRS1,0
INSR,KRAS,2
INSR,MDM2,0
INSR,MTOR,0
INSR,NFKB1,1
IRS1,,52
IRS1,KRAS,10
IRS1,MAP2K3/MAP2K6,2
IRS1,MAPK14,2
IRS1,MDM2,2
IRS1,MTOR,6
IRS1,NFKB1,4
IRS1,RHEB,1
KRAS,,38
KRAS,MTOR,4
KRAS,NFKB1,2
KRAS,RHEB,0
MAP2K3/MAP2K6,,13
MAP2K3/MAP2K6,PIK3CA,2
MAPK1,,21
MAPK14,,13
MAPK14,PIK3CA,2
MDM2,,22
MDM2,MTOR,0
MDM2,NFKB1,0
MDM2,PDK1,2
MDM2,PIK3CA,2
MTOR,,33
MTOR,NFKB1,63
MTOR,PDK1,12
MTOR,PIK3CA,10
NAD+,,16
NFKB1,,30
NFKB1,PDK1,9
NFKB1,PIK3CA,9
NFKB1,RHEB,5
NFKBIE,,2
PDK1,,78
PDK1,RHEB,2
PDK1,TP53,0
PIK3CA,,67
PIK3CA,RHEB,1
PPARGC1A,,21
PTEN,,16
RB1,,4
RHEB,,24
ROS,,19
SGK1,,21
SIRT1,,11
SOD2,,21
TP53,,9
TSC2,,19
