,,count
AKT1,,138
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,1
AKT1,IKBKB,26
AKT1,MDM2,2
AKT1,MTOR,25
AKT1,NFKB1,45
AKT1,RHEB,7
AKT1,SIRT1,0
AKT1,TP53,0
AMPK,,12
ATM/ATR,,38
ATM/ATR,IRS1,0
ATM/ATR,PDK1,0
ATM/ATR,PIK3CA,0
CDK2/4/6,,40
CDK2/4/6,IGF1R,2
CDK2/4/6,IKBKB,2
CDK2/4/6,INSR,0
CDK2/4/6,IRS1,1
CDK2/4/6,KRAS,1
CDK2/4/6,MTOR,5
CDK2/4/6,NFKB1,2
CDK2/4/6,PDK1,4
CDK2/4/6,PIK3CA,3
CDKN1A,,36
CDKN2A,,21
CDKN2A,IGF1R,2
CDKN2A,IRS1,4
CDKN2A,PIK3CA,5
FOXO3,,37
IGF1R,,111
IGF1R,IKBKB,7
IGF1R,INSR,22
IGF1R,IRS1,1
IGF1R,KRAS,0
IGF1R,MAP2K3/MAP2K6,1
IGF1R,MAPK14,1
IGF1R,MDM2,1
IGF1R,MTOR,19
IGF1R,NFKB1,8
IGF1R,RHEB,7
IGF1R,ROS,0
IGF1R,SIRT1,0
IGF1R,TP53,0
IKBKB,,46
IKBKB,IRS1,8
IKBKB,KRAS,1
IKBKB,MTOR,112
IKBKB,PIK3CA,12
IKBKB,RHEB,14
INSR,,65
INSR,IRS1,2
INSR,KRAS,0
INSR,MTOR,6
INSR,NFKB1,4
INSR,RHEB,0
INSR,SIRT1,1
IRS1,,113
IRS1,KRAS,17
IRS1,MAP2K3/MAP2K6,3
IRS1,MAPK14,3
IRS1,MDM2,1
IRS1,MTOR,20
IRS1,NFKB1,12
IRS1,RHEB,6
IRS1,ROS,0
IRS1,SIRT1,0
IRS1,TP53,0
KRAS,,97
KRAS,MDM2,0
KRAS,MTOR,15
KRAS,NFKB1,7
KRAS,RHEB,2
KRAS,TP53,0
MAP2K3/MAP2K6,,21
MAP2K3/MAP2K6,PIK3CA,3
MAPK1,,39
MAPK14,,21
MAPK14,PIK3CA,3
MDM2,,40
MDM2,MTOR,4
MDM2,NFKB1,2
MDM2,PDK1,3
MDM2,PIK3CA,3
MDM2,RHEB,0
MDM2,SIRT1,0
MTOR,,90
MTOR,NFKB1,137
MTOR,PDK1,34
MTOR,PIK3CA,32
MTOR,SGK1,0
MTOR,SOD2,0
NAD+,,35
NFKB1,,52
NFKB1,PDK1,18
NFKB1,PIK3CA,16
NFKB1,RHEB,18
NFKB1,SIRT1,0
NFKBIE,,5
PDK1,,167
PDK1,RHEB,9
PDK1,SIRT1,0
PDK1,TP53,1
PIK3CA,,149
PIK3CA,RHEB,8
PIK3CA,ROS,0
PIK3CA,SIRT1,0
PIK3CA,TP53,1
PPARGC1A,,39
PTEN,,29
RB1,,10
RHEB,,48
ROS,,34
SGK1,,39
SIRT1,,25
SOD2,,40
TP53,,25
TSC2,,38
