,,count
AKT1,,146
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,5
AKT1,IGF1R,4
AKT1,IKBKB,23
AKT1,INSR,1
AKT1,IRS1,3
AKT1,KRAS,2
AKT1,MDM2,6
AKT1,MTOR,17
AKT1,NFKB1,41
AKT1,PIK3CA,4
AKT1,RHEB,5
AKT1,SIRT1,0
AKT1,SOD2,1
AKT1,TP53,1
AMPK,,10
ATM/ATR,,41
ATM/ATR,NFKB1,0
ATM/ATR,PDK1,0
CDK2/4/6,,47
CDK2/4/6,IGF1R,2
CDK2/4/6,INSR,2
CDK2/4/6,IRS1,3
CDK2/4/6,KRAS,2
CDK2/4/6,MTOR,3
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,6
CDK2/4/6,PIK3CA,6
CDK2/4/6,RHEB,0
CDKN1A,,40
CDKN2A,,18
CDKN2A,IGF1R,2
CDKN2A,INSR,2
CDKN2A,IRS1,1
CDKN2A,KRAS,1
CDKN2A,PIK3CA,4
FOXO3,,45
IGF1R,,99
IGF1R,IKBKB,5
IGF1R,INSR,33
IGF1R,IRS1,5
IGF1R,KRAS,4
IGF1R,MAP2K3/MAP2K6,0
IGF1R,MAPK14,0
IGF1R,MDM2,2
IGF1R,MTOR,14
IGF1R,NFKB1,7
IGF1R,RHEB,5
IGF1R,SIRT1,0
IKBKB,,59
IKBKB,INSR,4
IKBKB,IRS1,5
IKBKB,KRAS,3
IKBKB,MDM2,0
IKBKB,MTOR,107
IKBKB,PIK3CA,9
IKBKB,RHEB,16
IKBKB,SIRT1,0
INSR,,81
INSR,IRS1,4
INSR,KRAS,1
INSR,MAP2K3/MAP2K6,0
INSR,MAPK14,0
INSR,MDM2,2
INSR,MTOR,6
INSR,NAD+,0
INSR,NFKB1,2
INSR,RHEB,1
INSR,SIRT1,1
INSR,SOD2,0
INSR,TP53,0
IRS1,,119
IRS1,KRAS,24
IRS1,MAP2K3/MAP2K6,0
IRS1,MAPK14,0
IRS1,MDM2,6
IRS1,MTOR,17
IRS1,NFKB1,7
IRS1,RHEB,5
IRS1,SIRT1,1
IRS1,SOD2,0
KRAS,,97
KRAS,MAP2K3/MAP2K6,0
KRAS,MAPK14,0
KRAS,MDM2,3
KRAS,MTOR,9
KRAS,NAD+,0
KRAS,NFKB1,6
KRAS,RHEB,4
KRAS,SIRT1,3
MAP2K3/MAP2K6,,16
MAP2K3/MAP2K6,PIK3CA,1
MAPK1,,46
MAPK14,,16
MAPK14,PIK3CA,1
MDM2,,47
MDM2,MTOR,4
MDM2,NFKB1,2
MDM2,PDK1,6
MDM2,PIK3CA,7
MDM2,RHEB,1
MTOR,,103
MTOR,NFKB1,129
MTOR,PDK1,28
MTOR,PIK3CA,23
MTOR,SOD2,0
NAD+,,40
NAD+,PIK3CA,0
NFKB1,,64
NFKB1,PDK1,17
NFKB1,PIK3CA,15
NFKB1,RHEB,23
NFKB1,SIRT1,0
NFKB1,TP53,0
NFKBIE,,9
PDK1,,176
PDK1,RHEB,8
PDK1,SIRT1,2
PDK1,SOD2,1
PDK1,TP53,1
PIK3CA,,159
PIK3CA,RHEB,6
PIK3CA,SIRT1,3
PIK3CA,SOD2,1
PIK3CA,TP53,0
PPARGC1A,,46
PTEN,,27
RB1,,3
RHEB,,57
ROS,,41
SGK1,,46
SIRT1,,29
SOD2,,47
TP53,,22
TSC2,,35
