,kclust,tight10,entrez,symbol
Caspase 9 (Phospho-Tyr153),2,10,842,CASP9
Caspase 9 (Ab-196),2,10,842,CASP9
SHP-2 (Ab-580) ,2,10,5781,PTPN11
Rb (Phospho-Thr821),2,10,5925,RB1
p27Kip1 (Ab-10),2,10,1027,CDKN1B
Cortactin (Ab-466),2,10,2017,CTTN
Claudin 7 (Ab-210),2,10,1366,CLDN7
Vinculin (Ab-821),2,10,7414,VCL
VASP (Ab-157),2,10,7408,VASP
Androgen Receptor (Ab-650),2,10,367,AR
CREB (Ab-133),2,10,1385,CREB1
DAPP1 (Phospho-Tyr139),2,10,27071,DAPP1
HDAC6 (Ab-22),2,10,10013,HDAC6
NFkB-p105/p50 (Ab-337),2,10,4790,NFKB1
IKK-beta (Ab-199),2,10,3551,IKBKB
KIT (Phospho-Tyr703),2,10,3815,KIT
IL-13R/CD213a1 (Ab-405),2,10,3597,IL13RA1
IRS-1 (Ab-639),2,10,3667,IRS1
Integrin beta-1 (Ab-789),2,10,3688,ITGB1
IkB-epsilon (Phospho-Ser22),2,10,4794,NFKBIE
IRS-1 (Phospho-Ser639),2,10,3667,IRS1
HNF4 alpha (Phospho-Ser313),2,10,3172,HNF4A
ICK (Phospho-Tyr159),2,10,22858,ICK
P70S6K (Ab-427),2,10,6198,RPS6KB1
P90RSK (Phospho-Ser380),2,10,6195,RPS6KA1
PKC theta (Phospho-Ser676),2,10,5588,PRKCQ
Ephrin B2 (Ab-330),2,10,1947/1948,EFNB1/EFNB2
