,Proliferation_1,Proliferation_6,Proliferation_24,Quiescence_1,Quiescence_6,Quiescence_24,Quiescence_96,Senescence_1,Senescence_6,Senescence_24,Senescence_96
c-Jun (Phospho-Ser63),1.181367421364051,0.9243052854488092,1.172542351747211,2.3151964505030294,1.4400552481758104,1.453257244729528,2.204631224779646,0.770335533622545,0.8059264429266737,0.8028123734908199,0.9308318616771767
GSK3 beta (Phospho-Ser9),1.1026316038449895,0.983437171657473,1.1502422212561914,1.2723384256615267,0.7766572186593373,0.8642859285028791,1.101256040363843,0.9477218082857747,0.7247799933435138,1.0551885142077664,0.9788393943761209
c-Jun (Phospho-Ser73),1.2575792926641614,0.9917224547730761,0.8767213316046295,1.5992172231857023,1.202508681905354,1.16069279848797,1.23145622425864,0.7029566842939114,0.7565780847496777,0.7267872745428448,0.8322741034302007
Elk1 (Phospho-Ser383),0.7430046578948646,0.8358933515379071,0.759956786439463,1.4161808225704486,0.7999098527513283,1.6371231794061194,1.1725792182602535,0.7363605844712934,0.8578324060527749,0.7345210811597366,0.6114999979448141
PDK1 (Phospho-Ser241),3.328258831935252,0.9235274805145434,0.7997839916681675,1.5718356070889727,0.7819570931741956,1.541898552262271,1.8957000102065964,1.1073931947163034,0.7002967594719967,1.7802078574691642,2.4515527114996405
Raf1 (Phospho-Ser259),1.2839664981606986,0.8176521042873023,0.7803426324540699,1.7098622384721907,1.5543585051947384,2.2206290391994146,1.4119707647600153,0.9780975217905931,0.8614683692068261,1.0920651077365668,0.7572089950456565
GSK3 alpha (Phospho-Ser21),2.0687126162486003,1.0960022281617496,1.890639349989577,3.7237972907299444,2.374516677845159,3.6546828790514496,3.2452587947778246,1.7192538410337022,0.957050866219968,1.8340664424037891,1.1265901263918292
MEK2 (Phospho-Thr394),1.069544975844603,1.815417917591263,1.0031925891587739,2.2861607565177473,1.989003144768976,2.91458144436725,2.7688452376385078,1.9522040373311131,1.547996964584659,1.0994819707023913,1.3753813725166577
PTEN (Phospho-Ser380),1.1483229194400855,0.9050785646530326,1.2534745889156258,1.3955435029107215,1.2486297919188436,1.1690795328031411,1.1002518677333912,0.9517347209167117,0.9223193682256291,0.9651183758326615,0.7809800872829312
NFkB-p65 (Phospho-Thr254),0.9263487621625978,1.007578083596542,0.8149678308680293,1.2000857754909753,1.1479422785154114,1.2606304602330085,1.4882496411206636,0.9844172865350906,0.8005330492498577,0.7186294470638663,0.826938162572692
NFkB-p65 (Phospho-Ser276),1.1155172786644176,0.9328093924725128,1.047284073287867,1.7232329825133932,1.3679842069672576,1.2731068915090027,1.0961652995479032,0.9783570371712412,0.7555251631957846,0.8821772756721736,0.8385491014238131
NFkB-p65 (Phospho-Thr435),1.1929827665522486,0.7977361614973143,0.8774806521943274,1.9274879612751057,2.3858620359440477,1.4236181749029249,1.3623752689204098,0.8583749590561215,0.5463046216656444,0.9816939972469927,0.7255866793195398
NFkB-p65 (Phospho-Ser468),1.0963218819516338,0.3590555860621268,0.7628943901033087,0.5417401844953115,0.830333680875489,0.5748516567478544,0.3906218803970582,0.8826706264525769,0.5636506965364155,0.4824624639140204,0.39514561839069834
NFkB-p65 (Phospho-Ser536),1.0913933675962644,0.8771968685639577,1.1242371057776417,1.0911033308165936,1.1567668799056257,1.0459839969477396,0.8815454997997133,1.0852879943749985,0.7229234864559955,0.6214172752665753,0.8201150953373328
NFkB-p100/p52 (Phospho-Ser865),1.0467342408189197,0.426034997649462,0.3819393089898083,0.6606126970976731,0.5330892833620701,0.5457223645514979,0.5687183265950464,0.49061277865017777,0.5669062564752014,0.4652664110171965,0.7231870993920159
NFkB-p100/p52 (Phospho-Ser869),0.9402966127204244,0.8767313208112765,0.9009977577556053,1.2298173515230213,1.334189657835435,0.9517645995932598,0.9454874314558475,0.7781467139603461,0.6134089096711781,0.8225876806053835,0.8366984385763997
MKK4/SEK1 (Phospho-Ser80),1.153198961567708,1.154361410055528,1.4562340543640493,3.6641541212330493,3.149751914902683,2.5280078979377762,3.0795629949627825,0.986289097639026,1.0873247208783283,0.9585155601121264,0.9655929081833294
ASK1 (Phospho-Ser966),1.2741331173361843,1.006457714893799,1.216672341721661,2.3522836502250652,1.5936761311150272,1.4941664566453097,1.7569032182364617,0.7957623412605491,0.9235868890818686,0.8040331072744847,0.8680824294099174
HDAC4 (Phospho-Ser632),0.8146075437547822,0.993866841643449,1.1354605981864074,1.4311404892903368,1.2055405297795945,1.033482079373921,1.1538264772034081,0.7899377549381135,0.7702605479635708,0.7404309076359131,0.8207907403245731
HDAC5 (Phospho-Ser498),0.9979946566520755,0.7917793217599793,0.8365610476667298,1.2576774764615477,0.9792335678314107,0.9793077276936988,1.2996461391727296,0.5827774577414284,0.64319563908428,0.6595102678706576,0.6801946568559663
HDAC8 (Phospho-Ser39),1.179555860989875,0.8793041927887845,1.1491065108458138,1.033290711249703,0.9512700040673642,0.8928116454062134,0.8778284792411885,0.9232645533227459,0.8551557621226186,0.9427033165773685,0.9760332986425235
HSP27 (Phospho-Ser15),1.2908123703122902,1.169313086553387,0.7996938468289196,1.8059519021154389,1.4849989840558675,1.4999588049153367,2.0287216956447467,1.0818724651765794,0.7839408427436426,0.9642560571525909,1.0674611006086794
SMC1 (Phospho-Ser957),0.8005263993157077,1.134454222763647,1.0827079144064247,1.7620589672915714,1.8175988828690153,1.9307306360878633,1.7796782812634162,0.9990697971394069,0.9399972331962185,0.9779200117855631,0.8961327492785941
BCR (Phospho-Tyr177),1.424810451659971,0.9539899192649092,1.142665830402574,1.6282955754201291,1.3776819900900488,1.6663023627587417,1.204280182473195,0.8490822418628977,0.804350916609859,0.9610949332563212,0.923390363208065
