,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),1.1533115395485039,-0.527621398582255,-0.6256901409662494,True
AKT1 (Phospho-Ser473),-1.1539794392551108,0.6123251173520039,0.5416543219031069,True
E2F1 (Phospho-Thr433),-1.1409020610965581,0.7245836527903506,0.41631840830621225,False
IGF1R (Phospho-Tyr1165/1166),-1.0156232166585235,0.9836079001791932,0.032015316479331146,True
IkB-alpha (Ab-32/36),-1.1439986143082104,0.7078314750881793,0.43616713922003214,False
IKK-beta (Ab-188),1.1546817085756427,-0.5830517132973103,-0.5716299952783314,False
IRS-1 (Phospho-Ser636),0.09152283199827252,0.9510924742060733,-1.0426153062043477,False
MKK6/MAP2K6 (Phospho-Ser207),1.1367695148837642,-0.7439304851688764,-0.3928390297148839,False
mTOR (Phospho-Ser2481),-1.140314560920783,0.41279773478860315,0.7275168261321798,True
p38 MAPK (Phospho-Tyr322),-1.1488390760818472,0.473788613616298,0.6750504624655509,True
p53 (Phospho-Ser15),-1.1448238505211032,0.7029253860932412,0.44189846442786196,False
P70S6K (Phospho-Ser411),-0.39880292300340464,1.1378667892858239,-0.7390638662824145,False
Rb (Phospho-Thr821),-1.1516468027712399,0.5031444412246069,0.6485023615466322,True
Tuberin/TSC2 (Phospho-Ser939),-1.1150177525431366,0.2976020494369545,0.8174157031061838,True
