,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),1.1116757454560269,-0.8262685990214396,-0.2854071464345875,True
AKT1 (Phospho-Ser473),0.12225761759973845,0.9332502970768226,-1.055507914676559,False
E2F1 (Phospho-Thr433),1.0691666352155464,-0.9122895918558962,-0.15687704335966007,False
IGF1R (Phospho-Tyr1165/1166),-0.3749497983805933,1.133286448348355,-0.7583366499677594,False
IkB-alpha (Ab-32/36),0.5220695119036326,0.6309195974517273,-1.1529891093553544,False
IKK-beta (Ab-188),0.26492702254056455,0.8408608203611848,-1.1057878429017505,True
IRS-1 (Phospho-Ser636),-0.6200207950576635,-0.5336012787014398,1.1536220737591019,True
MKK6/MAP2K6 (Phospho-Ser207),-0.881722354764879,1.0865579071487501,-0.20483555238386933,True
mTOR (Phospho-Ser2481),-0.5492600146081011,1.1542521291635062,-0.6049921145554055,False
p38 MAPK (Phospho-Tyr322),-1.1527113980575214,0.6350270258520686,0.51768437220545,True
p53 (Phospho-Ser15),-0.6868685280608853,1.1472742474037532,-0.46040571934286845,False
P70S6K (Phospho-Ser411),-1.0008472361936107,0.0016966313067289828,0.9991506048868809,True
Rb (Phospho-Thr821),-0.00900206585060098,-0.9954685776668472,1.0044706435174529,True
Tuberin/TSC2 (Phospho-Ser939),1.1280275691724322,-0.777708315143738,-0.35031925402869607,False
