,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),0.3383557621642296,-0.4054936419177448,-0.4555486437004185,True
AKT1 (Phospho-Ser473),-1.012635425032368,0.9436377029962013,0.028398441658508217,True
E2F1 (Phospho-Thr433),0.7549323260801545,-0.8597857783196936,0.3778597042915041,False
IGF1R (Phospho-Tyr1165/1166),-0.18458359581047193,0.8431462202288817,-0.5905727375829506,False
IkB-alpha (Ab-32/36),-0.6964582246122735,0.6861336594194434,-0.42664464318920226,False
IKK-beta (Ab-188),0.4682165004009279,0.5319153198601352,-0.5245206162752849,True
IRS-1 (Phospho-Ser636),-0.13601780060901392,0.20874559775231677,-0.5018051024492487,False
MKK6/MAP2K6 (Phospho-Ser207),0.563145500549486,0.18397386155368312,-0.4351978035406537,False
mTOR (Phospho-Ser2481),-1.0753220102447887,0.6466306065737673,0.467134447338366,True
p38 MAPK (Phospho-Tyr322),-1.1342086488363385,0.7539466558367327,0.3802619929996024,True
p53 (Phospho-Ser15),0.13091615205197854,0.3993203990203105,-0.24577379616380338,True
P70S6K (Phospho-Ser411),-0.6202314290184309,0.1313348329654002,-0.09209659407308969,True
Rb (Phospho-Thr821),-0.9045649515555824,0.448193472389808,0.6960523102279987,True
Tuberin/TSC2 (Phospho-Ser939),-0.7809600749414125,1.0522101155520964,-0.33880935248658617,False
