,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),-0.22704819533749793,1.0940019596041874,-0.8669537642666896,False
AKT1 (Phospho-Ser473),-1.1515658786701286,0.6494173084300846,0.5021485702400427,True
E2F1 (Phospho-Thr433),-1.0665686211158727,0.15010872112374787,0.9164598999921266,True
IGF1R (Phospho-Tyr1165/1166),-1.1448634277904977,0.7026845402785703,0.44217888751192824,True
IkB-alpha (Ab-32/36),-1.150077174531007,0.6644358437507073,0.48564133078030053,False
IKK-beta (Ab-188),1.1492323249411254,-0.6718210876688868,-0.47741123727223855,False
IRS-1 (Phospho-Ser636),-0.3635584332163004,1.1309203806232733,-0.7673619474069715,False
MKK6/MAP2K6 (Phospho-Ser207),1.149247830491476,-0.6716912531250524,-0.4775565773664235,False
mTOR (Phospho-Ser2481),-1.0662579714272313,0.14930551877092,0.9169524526563153,True
p38 MAPK (Phospho-Tyr322),-1.1377410443903777,0.7396305495204394,0.39811049486993555,True
p53 (Phospho-Ser15),-1.1422205381305537,0.7177362616605913,0.4244842764699623,False
P70S6K (Phospho-Ser411),-0.841659935033457,1.1054513339081142,-0.2637913988746571,True
Rb (Phospho-Thr821),-1.1368447624643734,0.39324250355500917,0.7436022589093653,True
Tuberin/TSC2 (Phospho-Ser939),-1.0172718221913166,0.9817833826430273,0.035488439548293414,False
