,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),2.2843771866666662,1.0588837168,0.6138502841179015,1
AKT1 (Phospho-Ser473),1.1857458098146372,1.2848882133304118,1.3332909365642969,1
E2F1 (Phospho-Thr433),1.1460978363309848,0.9747842349490196,1.3645148630894308,1
IGF1R (Phospho-Tyr1165/1166),1.1688369450985074,1.3024823226827023,1.2377013999999997,1
IkB-alpha (Ab-32/36),0.9840922202666665,0.9827157903023558,1.0032597733333333,1
IKK-beta (Ab-188),0.9857760345381527,0.9920956202666668,0.9213071466666666,1
IRS-1 (Phospho-Ser636),0.9758755594666666,1.1367197468468377,1.3448243149338375,1
MKK6/MAP2K6 (Phospho-Ser207),0.8538290755510711,1.2609656834372807,1.4717477431744503,1
mTOR (Phospho-Ser2481),0.9501701445333333,1.4384154790290593,1.1947375199999999,1
p38 MAPK (Phospho-Tyr322),0.914589783630641,1.2613297957333334,1.318337535945017,1
p53 (Phospho-Ser15),0.9860466029111248,1.1324240327141506,0.9696720668599034,1
P70S6K (Phospho-Ser411),1.069246899317932,1.3378313781333333,1.6006611359961957,1
Rb (Phospho-Thr821),1.0271862613333334,1.1179514408627267,1.550069698513201,1
Tuberin/TSC2 (Phospho-Ser939),0.9523575845333333,0.9360807100444445,0.98540788,1
