,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),1.7494748242666665,1.0007354973333333,0.7181340275402267,1
AKT1 (Phospho-Ser473),0.9764700193012713,1.1713798276423697,1.1884057843247657,1
E2F1 (Phospho-Thr433),0.9771842020560658,0.8877315271038412,1.0901826066666667,1
IGF1R (Phospho-Tyr1165/1166),0.9553315967497792,1.1513640234214169,1.08090214,1
IkB-alpha (Ab-32/36),0.9180051373333333,1.014517409056184,1.01730642,0
IKK-beta (Ab-188),1.1849242344761906,1.0187351453871594,0.9977685666666667,0
IRS-1 (Phospho-Ser636),0.8941660791999999,1.0765286485333334,1.0464334199999998,1
MKK6/MAP2K6 (Phospho-Ser207),1.0222091431906133,1.1186275858124992,1.2544220979544287,1
mTOR (Phospho-Ser2481),0.8803205498666667,1.2112672458323006,1.1087784733333335,1
p38 MAPK (Phospho-Tyr322),0.9131663930739532,1.1565761898666667,1.1906563404123713,1
p53 (Phospho-Ser15),0.9034294977038408,1.0766105787439801,0.9864122650241545,0
P70S6K (Phospho-Ser411),1.0243657163239237,1.2184911260103208,1.2976814896757456,1
Rb (Phospho-Thr821),0.8209658901333332,1.054819743511299,1.3077124687523873,1
Tuberin/TSC2 (Phospho-Ser939),0.9244583571382681,0.9623209300444444,0.9877922574643574,1
