,tight10,kclust,entrez,symbol
BAD (Ab-155),9,1,572,BAD
B-RAF (Ab-598),4,1,673,BRAF
FLT3 (Phospho-Tyr969),1,1,2322,FLT3
CD32 (FcgammaRIIb)(Ab-292),4,1,2213,FCGR2B
BAD (Phospho-Ser112),2,1,572,BAD
CDK5 (Ab-15),9,1,1020,CDK5
BAD (Phospho-Ser155),6,1,572,BAD
Filamin A (Ab-2152) ,6,1,2316,FLNA
HDAC5 (Ab-259),6,1,10014,HDAC5
BTK (Phospho-Tyr223),4,1,695,BTK
BCL-2 (Ab-56),1,1,596,BCL2
HCK (Phospho-Tyr410),8,1,3055,HCK
CREB (Phospho-Ser129),1,1,1385,CREB1
PTEN (Ab-370),4,1,5728,PTEN
Pyk2 (Phospho-Tyr402),4,1,2185,PTK2B
RAD51 (Phospho-Tyr315),1,1,5888,RAD51
Chk1 (Phospho-Ser301),6,1,1111,CHEK1
PKC theta (Phospho-Thr538),2,1,5588,PRKCQ
PKC theta (Ab-676),1,1,5588,PRKCQ
GABA-RB (Ab-434) ,9,1,2560,GABRB1
GATA1 (Ab-142),1,1,2623,GATA1
GATA1 (Phospho-Ser142),4,1,2623,GATA1
CD227/mucin 1 (Ab-1243),1,1,4582,MUC1
p63 (Phospho-Ser455),1,1,8626,TP63
IkB-alpha (Phospho-Tyr305),4,1,4792,NFKBIA
PTEN (Ab-380),1,1,5728,PTEN
GRK2 (Phospho-Ser685),1,1,156,GRK2
AKT1 (Ab-246),9,1,207,AKT1
ATF4 (Ab-245),6,1,468,ATF4
ADD1 (Ab-726) ,1,1,118,ADD1
IKK-beta (Phospho-Tyr188),6,1,3551,IKBKB
HSP27 (Ab-78),4,1,3315,HSPB1
IRS-1 (Ab-794),1,1,3667,IRS1
Estrogen Receptor-alpha (Phospho-Ser118),4,1,2099,ESR1
AKT1 (Phospho-Ser246),9,1,207,AKT1
HSF1 (Ab-303),1,1,3297,HSF1
14-3-3 theta/tau (Phospho-Ser232),9,1,10971,YWHAQ
Arrestin-1 (Ab-412),4,1,408,ARRB1
IGF1R (Phospho-Tyr1161),1,1,3480,IGF1R
Androgen Receptor (Phospho-Ser650),8,1,367,AR
Elk1 (Ab-389),4,1,2002,ELK1
ERK3 (Ab-189),6,1,5597,MAPK6
DAB1 (Ab-220),1,1,1600,DAB1
DDX5/DEAD-box protein 5 (Phospho-Tyr593),9,1,1655,DDX5
Cyclin E1 (Phospho-Thr77),6,1,898,CCNE1
Cyclin E1 (Ab-395),4,1,898,CCNE1
Cyclin D1 (Phospho-Thr286),9,1,595,CCND1
EGFR (Ab-693) ,9,1,1956,EGFR
EGFR (Phospho-Tyr1197),1,1,1956,EGFR
Elk1 (Ab-383),9,1,2002,ELK1
CXCR4 (Phospho-Ser339),2,1,7852,CXCR4
Catenin beta (Ab-41/45),9,1,1499,CTNNB1
Catalase (Ab-385),1,1,847,CAT
FAK (Ab-397),4,1,5747,PTK2
Calsenilin/KCNIP3 (Ab-63),2,1,30818,KCNIP3
CaMK2-beta/gamma/delta (Ab-287),6,1,816/818/817,CAMK2B/CAMK2G/CAMK2D
CaMK1-alpha (Ab-177),6,1,8536,CAMK1
Rb (Phospho-Ser795),4,1,5925,RB1
Synuclein alpha (Phospho-Tyr136),9,1,6622,SNCA
TGFBR2 (Ab-250),1,1,7048,TGFBR2
Tau (Ab-205),4,1,4137,MAPT
Tau (Phospho-Ser262),4,1,4137,MAPT
Tau (Phospho-Thr212),1,1,4137,MAPT
Trk A (Phospho-Tyr701),9,1,4914,NTRK1
PP1 alpha (Ab-320),6,1,5499,PPP1CA
14-3-3 beta/zeta (Ab-184/186),4,1,7534/7529,YWHAZ/YWHAB
MITF (Phospho-Ser73),4,1,4286,MITF
Synuclein alpha (Phospho-Tyr133),6,1,6622,SNCA
MKK3/MAP2K3 (Ab-222),9,1,5606,MAP2K3
STAT5A (Phospho-Tyr694),1,1,6776,STAT5A
Shc (Ab-427),6,1,6464,SHC1
Smad1 (Ab-465),4,1,4086,SMAD1
Smad1 (Phospho-Ser465),1,1,4086,SMAD1
Smad2/3 (Ab-8),4,1,4088/4087,SMAD3/SMAD2
Survivin (Phospho-Thr117),2,1,332,BIRC5
JunD (Phospho-Ser255),4,1,3726,JUNB
LCK (Phospho-Tyr393),1,1,3932,LCK
LAT (Phospho-Tyr171),9,1,27040,LAT
MSK2 (Phospho-Thr568),4,1,8986,RPS6KA4
Met (Ab-1234),8,1,4233,MET
Met (Phospho-Tyr1349),1,1,4233,MET
MSK1 (Phospho-Thr581),1,1,9252,RPS6KA5
Integrin beta-1 (Phospho-Thr788),6,1,3688,ITGB1
MSK1 (Ab-376),1,1,9252,RPS6KA5
MSK1 (Ab-581),9,1,9252,RPS6KA5
Kv1.3/KCNA3 (Ab-135),9,1,3738,KCNA3
MEK1 (Ab-286),6,1,5604,MAP2K1
M-CSF Receptor (Ab-809),1,1,1436,CSF1R
MAP3K7/TAK1 (Phospho-Thr184),1,1,6885,MAP3K7
JAK2 (Ab-221),9,1,3717,JAK2
NMDAR1 (Phospho-Ser897),1,1,2902,GRIN1
P70S6K (Phospho-Ser424),6,1,6198,RPS6KB1
P73 (Phospho-Tyr99),6,1,7161,TP73
P90RSK (Ab-573),2,1,6195,RPS6KA1
PAK1/2 (Ab-199),1,1,5058,PAK1
PAK1/2 (Phospho-Ser199),9,1,5058,PAK1
PDGFR beta (Ab-1009),9,1,5159,PDGFRB
PECAM-1 (Ab-713),9,1,5175,PECAM1
NFkB-p65 (Phospho-Ser536),4,1,5970,RELA
NFkB-p65 (Ab-254),9,1,5970,RELA
Ret (Ab-905),1,1,5979,RET
S6 Ribosomal Protein (Ab-235),1,1,6194,RPS6
PKC delta (Ab-505),4,1,5580,PRKCD
PI3-kinase p85-alpha (Phospho-Tyr607),4,1,5295,PIK3R1
PKC alpha (Ab-657),1,1,5578,PRKCA
NFkB-p105/p50 (Ab-907),1,1,4790,NFKB1
PKA CAT (Phospho-Thr197),1,1,5566,PRKACA
c-Jun (Phospho-Tyr170),6,1,3725,JUN
eNOS (Phospho-Ser1177),4,1,4846,NOS3
p130Cas (Phospho-Tyr410),6,1,9564,BCAR1
p38 MAPK (Phospho-Tyr182),4,1,1432,MAPK14
p53 (Phospho-Ser15),2,1,7157,TP53
Tyrosine Hydroxylase (Ab-40) ,9,1,7054,TH
p53 (Ab-378),9,1,7157,TP53
p27Kip1 (Phospho-Thr187),4,1,1027,CDKN1B
VAV1 (Ab-160),4,1,7409,VAV1
WASP (Ab-290),4,1,7454,WAS
